Feature,Importance
cat__phase_FCC,0.2233288371932499
num__al,0.143919942043861
cat__test_type_T,0.05191712762364057
num__ti,0.05123674957959427
num__ni,0.04844077279569939
num__density_exp_g_cm3,0.0364477643959948
num__co,0.03593296638728876
num__fe,0.03433062283811195
num__cr,0.03341751350395732
num__mo,0.03275711807844245
cat__phase_BCC+Laves+Sec.,0.029871983022226285
cat__phase_BCC,0.019759334793560582
num__density_calc_g_cm3,0.018452317404432646
num__cu,0.01656754874357227
cat__phase_None,0.014342918926030282
num__v,0.013794605667621366
cat__processing_method_POWDER,0.013242824892476414
num__hf,0.011993170278501868
num__nb,0.011812064772445103
num__mn,0.011607472024213306
cat__phase_BCC + Im,0.011507110809283285
cat__processing_method_None,0.009460585828254342
num__si,0.008936375498942219
cat__test_type_None,0.008847028065542904
cat__test_type_C,0.008837211370463421
cat__phase_BCC+Laves,0.006432304819855037
cat__phase_BCC+B2,0.0059433394858968485
num__grain_size_um,0.0056425759607530305
cat__phase_FCC + BCC,0.005428819699976708
num__w,0.005288281056362337
num__ta,0.005258256204779136
cat__phase_BCC+Sec.,0.004957626523912095
cat__phase_B2+Sec.,0.004587545905068544
cat__phase_FCC+BCC,0.004541474189255456
cat__processing_method_ANNEAL,0.00451956649599022
cat__phase_FCC+Sec.,0.0045148286062567655
num__zr,0.003457366390963721
num__b,0.003366674343881223
cat__processing_method_CAST,0.003126017056216039
cat__phase_BCC+BCC,0.00312308111894814
cat__alloy_class_MPEA,0.0028327935310956424
cat__processing_method_WROUGHT,0.002283617659364443
cat__alloy_class_HEA/CCA,0.002190298835968905
cat__phase_FCC + Im,0.0019499158333451427
num__pd,0.0018027923016498862
num__c,0.0014186704141666664
cat__phase_BCC+B2+Laves,0.0012454993447259608
cat__phase_FCC+B2,0.0010560533643405228
cat__precipitate_info_BCC (Cr-rich spherical particles),0.0010036289101519567
cat__phase_B2 (ordered),0.0009819758483008436
cat__phase_BCC+HCP,0.0009177964787409174
cat__phase_BCC+FCC,0.0009130692905622947
cat__phase_Other,0.0007369605978959038
num__precipitate_size_nm,0.0007338565017763983
cat__precipitate_info_None,0.0006458718713373599
cat__phase_FCC+FCC,0.0006078633211774512
num__matrix_volume_pct,0.000547703357137812
cat__phase_FCC+BCC+Sec.,0.0005319368016363355
cat__phase_FCC+BCC+B2,0.0004987607345505679
cat__alloy_class_MPEA/HEA,0.00047087387261648354
cat__processing_method_OTHER,0.00043853129472212873
cat__processing_method_0; 0; 0; 0,0.00042111703891241245
num__test_temperature_c,0.00035549653329691836
cat__phase_FCC + BCC + Im,0.00032459804966278246
cat__phase_Face‑Centered Cubic (FCC),0.00028521073756163356
cat__phase_FCC + BCC + B2,0.0002720729836881273
cat__processing_method_0; 0; 0; 1,0.0002593404526402962
cat__phase_Face‑Centered Cubic (FCC) – Dual FCC structure,0.00025461443164759973
cat__phase_FCC+B2+Sec.,0.0002288392056821251
num__zn,0.00022263321760307076
cat__phase_BCC+B2+Sec.,0.00021572716811906682
cat__phase_1 (face‐centered cubic),0.0002021086378461688
cat__precipitate_info_2 (body‐centered cubic); Fe–Cr‐rich plate,0.00016493089100250483
num__nd,0.00014848860151951305
cat__phase_Face‐centered cubic (FCC),0.0001475621056432341
num__sn,0.00014442076467100583
num__o,0.00014164416503083463
cat__processing_method_1; 1; 1; 1,0.00013923093855486423
cat__processing_method_Button flipped and re-melted five times to achieve compositional homogeneity; 0; Solutionizing treatment in a vacuum-sealed quartz tube followed by water quenching; 1,0.0001369897288096186
cat__precipitate_info_L12,0.00011571692763153192
cat__phase_FCC+BCC+B2+Sec.,0.00010673888914388912
cat__phase_BCC+BCC+Sec.,9.113678065285603e-05
cat__precipitate_info_L12 phase [classified as “1”],8.315472162132793e-05
cat__processing_method_Yes; Yes; Yes; 1,7.704319067685624e-05
cat__phase_Face‑centered cubic (FCC) [classified as “1” in the scheme],7.701035924475319e-05
"cat__precipitate_info_1 (L12 structure, i.e. γ′ phase)",6.637435504695958e-05
num__sc,6.198598787401826e-05
cat__phase_1 (face‑centered cubic),5.097772901931652e-05
num__mg,4.770493306126806e-05
cat__phase_FCC+L12+Sec.,4.726724665493428e-05
cat__phase_BCC+BCC+HCP,4.4415869798084504e-05
cat__precipitate_info_3,3.861776261414328e-05
cat__phase_2,3.709035294881192e-05
num__re,3.532935881732751e-05
cat__processing_method_Solution treatment performed immediately after casting (as‑cast); 0; Annealing after forging; 1,3.506063508313131e-05
num__li,3.373643615626584e-05
cat__phase_B2+BCC,2.6783527722576125e-05
cat__phase_FCC+HCP,2.6753441942705585e-05
cat__phase_B2,2.5925770004504145e-05
num__y,1.5342554137758157e-05
cat__precipitate_info_L12 phase,1.3614664027321166e-05
cat__phase_FCC+L12,6.4653626449148985e-06
"cat__precipitate_info_2 (body‐centered cubic); Fe–Cr‐rich plate (often associated with the disordered “A2” phase, here classified as BCC)",6.017331906073778e-06
cat__phase_Face‐Centered Cubic (FCC) (Classification: 1),1.9353297325019523e-06
cat__phase_Body-Centered Cubic (BCC),1.6005913445486956e-06
cat__precipitate_info_γ′ phase with L12 (ordered) crystal structure (Classification: L12 → 1),1.1259544236655863e-06
cat__phase_FCC (code 1) – Ni‐rich solid solution with a face‐centered cubic structure,9.577839621668405e-07
"cat__precipitate_info_L12 (ordered intermetallic phase, cuboidal morphology, code 1)",8.959394282890885e-07
num__ga,0.0
num__ru,0.0
num__i,0.0
num__t,0.0
num__s,0.0
num__ca,0.0
num__ag,0.0
cat__single_multiphase_None,0.0
cat__equilibrium_condition_None,0.0
