Record_ID,Composition_Canonical,YS_Tensile_MPa,Test_Temperature_C,Grain_Size_um,Density_Exp_g_cm3,Density_Calc_g_cm3,Precipitate_Size_nm,Matrix_Volume_pct,Youngs_Modulus_Exp_GPa,Youngs_Modulus_Calc_GPa,Predicted_Solidus_C,Processing_Method,Phase,Alloy_Class,Equilibrium_Condition,Single_Multiphase,Test_Type,Precipitate_Info,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Hf,I,Li,Mg,Mn,Mo,Nb,Nd,Ni,O,Pd,Re,Ru,S,Sc,Si,Sn,T,Ta,Ti,V,W,Y,Zn,Zr,MI_n_elements,MI_max_fraction,MI_min_nonzero_fraction,MI_top2_fraction,MI_top3_fraction,MI_fraction_std,MI_fraction_range,MI_config_entropy_R,MI_weighted_atomic_mass,MI_weighted_electronegativity,MI_weighted_atomic_radius,MI_weighted_VEC,MI_radius_std,MI_en_std,MI_mass_std,MI_atomic_size_mismatch,MI_pair_fraction_product_sum,MI_pair_electronegativity_interaction,MI_pair_radius_interaction,ACF_atomic_mass_mean,ACF_atomic_mass_var,ACF_atomic_mass_std,ACF_atomic_mass_skew,ACF_atomic_mass_kurtosis,ACF_atomic_mass_min,ACF_atomic_mass_max,ACF_atomic_mass_range,ACF_atomic_mass_q25,ACF_atomic_mass_q50,ACF_atomic_mass_q75,ACF_atomic_radius_mean,ACF_atomic_radius_var,ACF_atomic_radius_std,ACF_atomic_radius_skew,ACF_atomic_radius_kurtosis,ACF_atomic_radius_min,ACF_atomic_radius_max,ACF_atomic_radius_range,ACF_atomic_radius_q25,ACF_atomic_radius_q50,ACF_atomic_radius_q75,ACF_electronegativity_mean,ACF_electronegativity_var,ACF_electronegativity_std,ACF_electronegativity_skew,ACF_electronegativity_kurtosis,ACF_electronegativity_min,ACF_electronegativity_max,ACF_electronegativity_range,ACF_electronegativity_q25,ACF_electronegativity_q50,ACF_electronegativity_q75,ACF_VEC_mean,ACF_VEC_var,ACF_VEC_std,ACF_VEC_skew,ACF_VEC_kurtosis,ACF_VEC_min,ACF_VEC_max,ACF_VEC_range,ACF_VEC_q25,ACF_VEC_q50,ACF_VEC_q75,ACF_dominant_fraction,ACF_second_fraction,ACF_top2_fraction,ACF_top3_fraction,ACF_atomic_mass_above_mean_fraction,ACF_atomic_mass_below_mean_fraction,ACF_atomic_radius_above_mean_fraction,ACF_atomic_radius_below_mean_fraction,ACF_electronegativity_above_mean_fraction,ACF_electronegativity_below_mean_fraction,ACF_VEC_above_mean_fraction,ACF_VEC_below_mean_fraction,ACF_config_entropy_normalized,ACF_entropy_weighted_atomic_mass,ACF_entropy_weighted_atomic_radius,ACF_entropy_weighted_electronegativity,ACF_entropy_weighted_VEC,ACF_refractory_fraction,ACF_transition_fraction,ACF_early_transition_fraction,ACF_late_transition_fraction,ACF_heavy_element_fraction,ACF_light_element_fraction,ACF_large_radius_fraction,ACF_small_radius_fraction,ACF_high_EN_fraction,ACF_low_EN_fraction,ACF_fraction_squared_sum,ACF_fraction_cubed_sum,ACF_fraction_fourth_sum,ACF_effective_component_number,ACF_entropy_x_radius_std,ACF_entropy_x_EN_std,ACF_entropy_x_mass_std,ACF_refractory_x_radius_std,ACF_transition_x_EN_std
R00001,Co:33.3333;Fe:33.3333;Ni:33.3333,204.0,,,8.5,,,,207.0,,,,FCC,HEA/CCA,,,C,,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.0,0.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.3333333333333333,0.3333333333333333,0.6666666666666667,1.0,0.0946762136662301,0.0,1.0986122895523018,57.82366666666667,1.8733333333333333,125.00000000000004,9.000000000000002,0.816496580927726,0.0329983164553721,1.4025551286451772,0.6531972647421814,0.3333333333333333,0.0177777777777777,0.4444444444444445,57.82386666666667,1.9675406488888885,1.4026905035997386,-0.6916386602088586,-1.499999999999995,55.845,58.9332,3.0882000000000005,55.845,58.6934,58.9332,125.00000000000003,0.6666666666666667,0.816496580927726,-1.0442802858320781e-13,-1.5,124.0,126.0,2.0,124.0,125.0,126.0,1.8733333333333335,0.0010888888888888845,0.03299831645537215,-0.2947996201448467,-1.4999999999999918,1.83,1.91,0.07999999999999985,1.83,1.88,1.91,9.000000000000002,0.6666666666666667,0.816496580927726,-6.526751786450488e-15,-1.5,8.0,10.0,2.0,8.0,9.0,10.0,0.33333333333333337,0.33333333333333337,0.6666666666666667,1.0,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.30900273887892615,121.34987716497295,262.32653608351376,3.931400354104926,18.88751059801299,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.0,1.0,1.0,0.0,0.33333333333333337,0.11111111111111115,0.037037037037037056,2.9999999999999996,0.8970131774626955,0.03625235596323094,1.541013024452732,0.0,0.03299831645537215
R00002,Co:33.3333;Fe:33.3333;Ni:33.3333,209.0,,,8.5,,,,207.0,,,,FCC,HEA/CCA,,,C,,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.0,0.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.3333333333333333,0.3333333333333333,0.6666666666666667,1.0,0.0946762136662301,0.0,1.0986122895523018,57.82366666666667,1.8733333333333333,125.00000000000004,9.000000000000002,0.816496580927726,0.0329983164553721,1.4025551286451772,0.6531972647421814,0.3333333333333333,0.0177777777777777,0.4444444444444445,57.82386666666667,1.9675406488888885,1.4026905035997386,-0.6916386602088586,-1.499999999999995,55.845,58.9332,3.0882000000000005,55.845,58.6934,58.9332,125.00000000000003,0.6666666666666667,0.816496580927726,-1.0442802858320781e-13,-1.5,124.0,126.0,2.0,124.0,125.0,126.0,1.8733333333333335,0.0010888888888888845,0.03299831645537215,-0.2947996201448467,-1.4999999999999918,1.83,1.91,0.07999999999999985,1.83,1.88,1.91,9.000000000000002,0.6666666666666667,0.816496580927726,-6.526751786450488e-15,-1.5,8.0,10.0,2.0,8.0,9.0,10.0,0.33333333333333337,0.33333333333333337,0.6666666666666667,1.0,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.30900273887892615,121.34987716497295,262.32653608351376,3.931400354104926,18.88751059801299,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.0,1.0,1.0,0.0,0.33333333333333337,0.11111111111111115,0.037037037037037056,2.9999999999999996,0.8970131774626955,0.03625235596323094,1.541013024452732,0.0,0.03299831645537215
R00003,Co:33.3333;Fe:33.3333;Ni:33.3333,241.0,,,8.5,,,,207.0,,,,FCC,HEA/CCA,,,T,,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.0,0.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.3333333333333333,0.3333333333333333,0.6666666666666667,1.0,0.0946762136662301,0.0,1.0986122895523018,57.82366666666667,1.8733333333333333,125.00000000000004,9.000000000000002,0.816496580927726,0.0329983164553721,1.4025551286451772,0.6531972647421814,0.3333333333333333,0.0177777777777777,0.4444444444444445,57.82386666666667,1.9675406488888885,1.4026905035997386,-0.6916386602088586,-1.499999999999995,55.845,58.9332,3.0882000000000005,55.845,58.6934,58.9332,125.00000000000003,0.6666666666666667,0.816496580927726,-1.0442802858320781e-13,-1.5,124.0,126.0,2.0,124.0,125.0,126.0,1.8733333333333335,0.0010888888888888845,0.03299831645537215,-0.2947996201448467,-1.4999999999999918,1.83,1.91,0.07999999999999985,1.83,1.88,1.91,9.000000000000002,0.6666666666666667,0.816496580927726,-6.526751786450488e-15,-1.5,8.0,10.0,2.0,8.0,9.0,10.0,0.33333333333333337,0.33333333333333337,0.6666666666666667,1.0,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.30900273887892615,121.34987716497295,262.32653608351376,3.931400354104926,18.88751059801299,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.0,1.0,1.0,0.0,0.33333333333333337,0.11111111111111115,0.037037037037037056,2.9999999999999996,0.8970131774626955,0.03625235596323094,1.541013024452732,0.0,0.03299831645537215
R00004,Co:33.3333;Fe:33.3333;Ni:33.3333,196.0,,,7.7,,,,194.0,,,,FCC,HEA/CCA,,,C,,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.0,0.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.3333333333333333,0.3333333333333333,0.6666666666666667,1.0,0.0946762136662301,0.0,1.0986122895523018,57.82366666666667,1.8733333333333333,125.00000000000004,9.000000000000002,0.816496580927726,0.0329983164553721,1.4025551286451772,0.6531972647421814,0.3333333333333333,0.0177777777777777,0.4444444444444445,57.82386666666667,1.9675406488888885,1.4026905035997386,-0.6916386602088586,-1.499999999999995,55.845,58.9332,3.0882000000000005,55.845,58.6934,58.9332,125.00000000000003,0.6666666666666667,0.816496580927726,-1.0442802858320781e-13,-1.5,124.0,126.0,2.0,124.0,125.0,126.0,1.8733333333333335,0.0010888888888888845,0.03299831645537215,-0.2947996201448467,-1.4999999999999918,1.83,1.91,0.07999999999999985,1.83,1.88,1.91,9.000000000000002,0.6666666666666667,0.816496580927726,-6.526751786450488e-15,-1.5,8.0,10.0,2.0,8.0,9.0,10.0,0.33333333333333337,0.33333333333333337,0.6666666666666667,1.0,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.30900273887892615,121.34987716497295,262.32653608351376,3.931400354104926,18.88751059801299,0.0,1.0,0.0,1.0,0.0,0.6666666666666667,0.0,1.0,1.0,0.0,0.33333333333333337,0.11111111111111115,0.037037037037037056,2.9999999999999996,0.8970131774626955,0.03625235596323094,1.541013024452732,0.0,0.03299831645537215
R00005,Co:28.5714;Fe:28.5714;Ni:28.5714;Si:14.2857,476.0,,,7.4,,,,,,,,FCC+Im,HEA/CCA,,,C,,0.0,0.0,0.0,0.0,0.0,28.571428571428573,0.0,0.0,28.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.2857142857142857,0.1428571428571428,0.5714285714285714,0.8571428571428571,0.0834433047886145,0.1428571428571428,1.3517839951462072,53.575285714285705,1.8771428571428568,123.0,8.285714285714285,4.956957592256421,0.0319438282499969,10.487067378637445,4.0300468229727,0.3673469387755101,0.0171428571428571,2.040816326530612,53.57545714285714,109.9803643053061,10.487152344907845,-1.9772532183375122,2.0226398324335237,28.085,58.9332,30.8482,55.845,58.6934,58.9332,123.0,24.571428571428566,4.95695759225642,-1.9423016633800854,1.952812330989727,111.0,126.0,15.0,124.0,125.0,126.0,1.8771428571428568,0.001020408163265302,0.03194382824999693,-0.5549026292963156,-1.2873760000000238,1.83,1.91,0.07999999999999985,1.83,1.88,1.91,8.285714285714285,3.6326530612244894,1.9059520091609048,-1.402213777728211,0.8449059462189097,4.0,10.0,6.0,8.0,9.0,10.0,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.7142857142857142,0.2857142857142857,0.5714285714285714,0.42857142857142855,0.38021143666124035,125.9979025953223,289.26943129762645,4.414634526423706,19.48621023839992,0.0,0.8571428571428571,0.0,0.8571428571428571,0.0,0.7142857142857142,0.0,1.0,1.0,0.0,0.2653061224489796,0.07288629737609328,0.020408163265306117,3.769230769230769,6.700735933584769,0.043181155744683286,14.176364685523552,0.0,0.027380424214283085
R00006,Co:26.6667;Fe:26.6667;Ni:26.6667;Si:20.0000,1301.0,,,6.6,,,,,,,,FCC+Im,HEA/CCA,,,C,,0.0,0.0,0.0,0.0,0.0,26.666666666666668,0.0,0.0,26.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.2666666666666666,0.2,0.5333333333333333,0.8,0.0813058685317553,0.0666666666666666,1.379292255329237,51.875933333333336,1.8786666666666667,122.2,7.999999999999999,5.647418289212633,0.0313829394558394,11.961432018319917,4.621455228488242,0.3733333333333333,0.016711111111111,2.5244444444444447,51.87609333333333,143.07806301795554,11.96152427652745,-1.459796935905829,0.19365795487740733,28.085,58.9332,30.8482,55.845,58.6934,58.9332,122.2,31.893333333333338,5.647418289212633,-1.4376593213679723,0.16740165098824633,111.0,126.0,15.0,124.0,125.0,126.0,1.8786666666666667,0.000984888888888885,0.031382939455839455,-0.6662008376547993,-1.1501795279490092,1.83,1.91,0.07999999999999985,1.83,1.88,1.91,7.999999999999999,4.533333333333334,2.1291625896895083,-1.0774741478965058,-0.2880622837370259,4.0,10.0,6.0,8.0,9.0,10.0,0.26666666666666666,0.26666666666666666,0.5333333333333333,0.8,0.8,0.2,0.8,0.2,0.7333333333333334,0.26666666666666666,0.8,0.2,0.3879485863600257,123.4283870603016,290.749513496561,4.469897048736001,19.034338035781403,0.0,0.8,0.0,0.8,0.0,0.7333333333333334,0.0,1.0,1.0,0.0,0.2533333333333333,0.0648888888888889,0.01677037037037037,3.9473684210526323,7.789440304078314,0.043286245314024294,16.49843778630119,0.0,0.025106351564671565
R00007,Al:7.6923;Co:30.7692;Fe:30.7692;Ni:30.7692,158.0,,,7.9,,,,196.0,,,,FCC,HEA/CCA,,,C,,0.0,7.6923076923076925,0.0,0.0,0.0,30.76923076923077,0.0,0.0,30.76923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.76923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.3076923076923077,0.0769230769230769,0.6153846153846154,0.9230769230769232,0.0876774502888014,0.2307692307692307,1.2852930249766603,55.451230769230776,1.853076923076923,126.3846153846154,8.538461538461538,4.860175076594251,0.076999961576875,8.328100976202347,3.8455432742376914,0.3550295857988166,0.0338461538461538,1.6568047337278111,55.45137692307692,69.36068236946745,8.328306092445658,-3.0321974008254067,7.5208921645781714,26.9815,58.9332,31.9517,55.845,58.6934,58.9332,126.38461538461539,23.62130177514793,4.860175076594251,3.029882458688743,7.527157019449712,124.0,143.0,19.0,124.0,125.0,126.0,1.853076923076923,0.005928994082840228,0.07699996157687501,-2.2908240926305257,4.738560603344217,1.61,1.91,0.2999999999999998,1.83,1.88,1.91,8.538461538461538,3.1715976331360944,1.78089798504465,-2.1467775053626337,4.338967476052571,3.0,10.0,7.0,8.0,9.0,10.0,0.3076923076923077,0.3076923076923077,0.6153846153846154,0.9230769230769231,0.9230769230769231,0.07692307692307693,0.07692307692307693,0.9230769230769231,0.6153846153846154,0.38461538461538464,0.6153846153846154,0.38461538461538464,0.3615097599141002,126.72264486016195,288.82587989456334,4.234823765465631,19.512886590563927,0.0,0.9230769230769231,0.0,0.9230769230769231,0.0,0.6923076923076923,0.07692307692307693,0.9230769230769231,0.9230769230769231,0.07692307692307693,0.2899408284023669,0.08784706417842514,0.026924827562060157,3.4489795918367343,6.246749121948961,0.09896751347227314,10.704313723357329,0.0,0.07107688760942309
R00008,Al:14.2857;Co:28.5714;Fe:28.5714;Ni:28.5714,346.0,,,7.4,,,,187.0,,,,FCC+BCC,HEA/CCA,,,C,,0.0,14.285714285714286,0.0,0.0,0.0,28.571428571428573,0.0,0.0,28.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.2857142857142857,0.1428571428571428,0.5714285714285715,0.8571428571428572,0.0834433047886145,0.1428571428571428,1.3517839951462072,53.4177142857143,1.8357142857142856,127.5714285714286,8.142857142857144,6.343886660335577,0.0970798114744685,10.870171857154864,4.972811491864389,0.3673469387755103,0.0453061224489795,2.53061224489796,53.41781428571429,118.1662489155102,10.870430024406128,-1.9816183910414427,2.0326018108445085,26.9815,58.9332,31.9517,55.845,58.6934,58.9332,127.5714285714286,40.24489795918369,6.343886660335578,1.9806554373380327,2.0353375245320535,124.0,143.0,19.0,124.0,125.0,126.0,1.8357142857142859,0.009424489795918357,0.09707981147446855,-1.6404489014472632,1.2850066426195772,1.61,1.91,0.2999999999999998,1.83,1.88,1.91,8.142857142857144,4.979591836734694,2.2314999074019015,-1.5679270378667765,1.1735420585864036,3.0,10.0,7.0,8.0,9.0,10.0,0.28571428571428575,0.28571428571428575,0.5714285714285715,0.8571428571428572,0.8571428571428572,0.14285714285714288,0.14285714285714288,0.8571428571428572,0.5714285714285715,0.4285714285714286,0.5714285714285715,0.4285714285714286,0.38021143666124035,125.62716064707966,300.0204438429506,4.317203475231707,19.15024109635855,0.0,0.8571428571428572,0.0,0.8571428571428572,0.0,0.7142857142857144,0.14285714285714288,0.8571428571428572,0.8571428571428572,0.14285714285714288,0.26530612244897966,0.07288629737609333,0.020408163265306135,3.7692307692307683,8.57556444902923,0.1312309353198429,14.694473318037808,0.0,0.0832112669781159
R00009,Al:20.0000;Co:26.6667;Fe:26.6667;Ni:26.6667,794.0,,,7.0,,,,179.0,,,,FCC+BCC,HEA/CCA,,,C,,0.0,20.0,0.0,0.0,0.0,26.666666666666668,0.0,0.0,26.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.2666666666666666,0.1999999999999999,0.5333333333333333,0.8,0.0813058685317553,0.0666666666666666,1.379292255329237,51.65533333333333,1.8206666666666664,128.6,7.799999999999999,7.236942264059686,0.1093902290984995,12.400285204605398,5.627482320419661,0.3733333333333333,0.053511111111111,3.1644444444444444,51.65539333333333,153.77428557528887,12.400576017882752,-1.4625536565645876,0.19760644518458115,26.9815,58.9332,31.9517,55.845,58.6934,58.9332,128.6,52.373333333333335,7.236942264059686,1.4619490313941672,0.19945941405586032,124.0,143.0,19.0,124.0,125.0,126.0,1.8206666666666664,0.011966222222222206,0.10939022909849949,-1.2405509708090183,-0.10724426201434278,1.61,1.91,0.2999999999999998,1.83,1.88,1.91,7.799999999999999,6.293333333333331,2.5086516962969037,-1.1918077399457054,-0.14769462798046673,3.0,10.0,7.0,8.0,9.0,10.0,0.26666666666666666,0.26666666666666666,0.5333333333333333,0.8,0.8,0.19999999999999998,0.19999999999999998,0.8,0.8,0.19999999999999998,0.8,0.19999999999999998,0.3879485863600257,122.90327725973948,305.9769839251861,4.331898097976585,18.558479584886868,0.0,0.8,0.0,0.8,0.0,0.7333333333333334,0.19999999999999998,0.8,0.8,0.19999999999999998,0.25333333333333335,0.06488888888888888,0.01677037037037037,3.9473684210526314,9.981858410883476,0.15088109571055186,17.104018452465297,0.0,0.0875121832787996
R00010,Co:25.0000;Cr:25.0000;Fe:25.0000;Ni:25.0000,148.0,,,8.2,,,,225.0,,,,FCC,HEA/CCA,,,T,,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.25,0.25,0.5,0.75,0.0807007127726689,0.0,1.386294361976452,56.36675,1.82,125.75,8.25,1.479019945774904,0.0966953980290685,2.8005694398639704,1.1761590026042914,0.375,0.0499999999999999,0.8125,56.366924999999995,7.843692546874999,2.8006593057483804,-0.616250970688909,-1.2213767347448918,51.9961,58.9332,6.937100000000001,51.9961,55.845,58.6934,125.75,2.1875,1.479019945774904,0.4346507595746657,-1.1542857142857144,124.0,128.0,4.0,124.0,125.0,126.0,1.82,0.00935,0.09669539802906858,-0.8710300660343949,-0.9011696073665201,1.66,1.91,0.25,1.66,1.83,1.88,8.25,2.1875,1.479019945774904,-0.4346507595746657,-1.1542857142857144,6.0,10.0,4.0,6.0,8.0,9.0,0.25,0.25,0.5,0.75,0.5,0.5,0.5,0.5,0.75,0.25,0.5,0.5,0.3899180437875726,134.50807528116778,300.0765159108263,4.343055737238202,19.6869284792391,0.0,1.0,0.25,0.75,0.0,0.75,0.0,1.0,0.75,0.25,0.25,0.0625,0.015625,4.0,2.0503570108115956,0.13404828503394114,3.882538202976927,0.0,0.09669539802906858
