Original_Feature,Mean_Abs_SHAP,Transformed_Components
Test_Temperature_C,189.63480210320418,2
Processing_Method,36.475415805603866,62
PHASE_TEST_COMPRESSION__X__MI_atomic_size_mismatch,34.45396825017864,1
PHASE_BCC_IND__X__MI_atomic_size_mismatch,22.147599929728905,1
MI_pair_radius_interaction,20.102122259048635,1
PHASE_TEST_COMPRESSION__X__MI_pair_electronegativity_interaction,18.08377758208938,1
PHASE_BCC_IND__X__MI_pair_electronegativity_interaction,18.070968238928625,1
ACF_late_transition_fraction,17.600070572333664,1
Phase,16.3475295218346,106
ACF_small_radius_fraction,15.421194700081411,1
MI_radius_std,14.241454506079497,1
PHASE_TEST_COMPRESSION__X__ACF_atomic_mass_q50,13.512873676357383,1
ACF_atomic_radius_std,12.970059572797537,1
ACF_large_radius_fraction,12.326218262896735,1
Grain_Size_um,12.195728109968336,2
Precipitate_Info,9.769147060995504,62
PHASE_TEST_COMPRESSION__X__ACF_atomic_mass_q75,8.841388123786228,1
ACF_refractory_x_radius_std,7.429600842492444,1
PHASE_TEST_COMPRESSION__X__Density_Exp_g_cm3,7.4290172207071254,1
ACF_entropy_x_radius_std,7.410516841075885,1
Mo,6.535260631953687,1
ACF_atomic_radius_var,6.194447032054723,1
MI_atomic_size_mismatch,5.749200171841979,1
PHASE_BCC_IND__X__ACF_atomic_mass_q50,5.538609126564891,1
ACF_electronegativity_max,5.405721229218634,1
ACF_top3_fraction,5.26459921700484,1
ACF_early_transition_fraction,5.189815884456911,1
MI_top3_fraction,4.873498856861269,1
PHASE_TEST_COMPRESSION__X__MI_weighted_atomic_mass,4.547516076795482,1
ACF_VEC_mean,4.373812823569084,1
PHASE_TEST_COMPRESSION__X__ACF_atomic_mass_mean,4.370898451759314,1
MI_n_elements,4.139180589367704,1
ACF_effective_component_number,3.7942486502605703,1
PHASE_BCC_IND__X__ACF_atomic_mass_min,3.7698330083845013,1
ACF_entropy_weighted_atomic_radius,3.7579718069602186,1
Matrix_Volume_pct,3.7014496899064255,2
ACF_top2_fraction,3.697817198788036,1
MI_weighted_VEC,3.6343712468097573,1
PHASE_TEST_COMPRESSION__X__MI_weighted_VEC,3.5964853709003157,1
MI_weighted_atomic_radius,3.5289769421024864,1
Cr,3.4904894212786255,1
V,3.436630819921854,1
Youngs_Modulus_Calc_GPa,3.278073499840081,2
Ta,3.2393674301039046,1
PHASE_BCC_IND__X__ACF_atomic_radius_mean,3.2048992962588185,1
PHASE_TEST_COMPRESSION__X__ACF_atomic_mass_range,3.149735276182876,1
PHASE_BCC_IND,3.1367874755228864,1
ACF_entropy_weighted_electronegativity,3.0909551595293165,1
ACF_entropy_x_mass_std,3.089808473490981,1
MI_top2_fraction,3.0897293411112594,1
PHASE_BCC_IND__X__ACF_atomic_mass_q75,2.8930654876226223,1
PHASE_BCC_IND__X__MI_weighted_VEC,2.8592024783990433,1
ACF_electronegativity_q25,2.8127730057341678,1
ACF_refractory_fraction,2.7727292051207812,1
MI_pair_fraction_product_sum,2.719255464294349,1
MI_fraction_std,2.696954679663987,1
PHASE_TEST_COMPRESSION__X__ACF_atomic_mass_std,2.6731503434415065,1
ACF_fraction_squared_sum,2.670799807115421,1
ACF_atomic_radius_mean,2.6529308083524317,1
ACF_fraction_cubed_sum,2.6219836992955865,1
MI_mass_std,2.596481543003013,1
ACF_atomic_radius_q25,2.588762328982902,1
PHASE_BCC_IND__X__MI_weighted_electronegativity,2.55457881750443,1
Equilibrium_Condition,2.5321688128219124,6
PHASE_TEST_COMPRESSION__X__ACF_atomic_mass_q25,2.5306186008562217,1
ACF_electronegativity_range,2.5176838500753704,1
PHASE_BCC_IND__X__ACF_atomic_mass_q25,2.435907540649939,1
ACF_atomic_radius_kurtosis,2.423790469610557,1
ACF_config_entropy_normalized,2.411071411029099,1
ACF_atomic_mass_std,2.397335092635636,1
PHASE_TEST_COMPRESSION__X__MI_weighted_electronegativity,2.3793056507041492,1
Ti,2.3770517924155237,1
MI_config_entropy_R,2.3103146668695635,1
PHASE_BCC_IND__X__MI_weighted_atomic_radius,2.295112732947342,1
ACF_VEC_std,2.275990445765729,1
ACF_entropy_x_EN_std,2.258050212437773,1
MI_max_fraction,2.253339792687099,1
PHASE_TEST_COMPRESSION__X__Density_Calc_g_cm3,2.2380171431866693,1
ACF_VEC_var,2.219813165129809,1
ACF_transition_fraction,2.168667584085737,1
ACF_dominant_fraction,2.155762015067701,1
ACF_atomic_mass_above_mean_fraction,2.1389288894754386,1
ACF_atomic_radius_skew,2.065412624145828,1
PHASE_TEST_COMPRESSION__X__ACF_atomic_mass_min,2.062360875935195,1
ACF_VEC_below_mean_fraction,2.052005249498472,1
ACF_fraction_fourth_sum,2.0267649027622987,1
ACF_atomic_mass_below_mean_fraction,2.0190739256906056,1
MI_pair_electronegativity_interaction,2.017208928827503,1
MI_en_std,2.013819078978836,1
Youngs_Modulus_Exp_GPa,2.007655405739298,2
ACF_VEC_range,1.9975569824782657,1
ACF_electronegativity_var,1.9707703571757558,1
PHASE_BCC_IND__X__ACF_atomic_mass_range,1.9175878585908277,1
PHASE_TEST_COMPRESSION__X__ACF_atomic_radius_mean,1.8395421273242683,1
PHASE_BCC_IND__X__ACF_atomic_mass_kurtosis,1.8379801259796258,1
ACF_VEC_kurtosis,1.7911832419987648,1
ACF_electronegativity_above_mean_fraction,1.7436345902684458,1
PHASE_TEST_COMPRESSION__X__MI_weighted_atomic_radius,1.7355711884886245,1
Nb,1.7197273095367431,1
ACF_electronegativity_below_mean_fraction,1.7135863133724851,1
ACF_VEC_above_mean_fraction,1.6913560964651662,1
ACF_low_EN_fraction,1.6772550277224276,1
ACF_electronegativity_skew,1.6653994288184488,1
ACF_electronegativity_std,1.6434000927687562,1
ACF_VEC_q50,1.6432712922530586,1
MI_min_nonzero_fraction,1.6296708162412585,1
Density_Calc_g_cm3,1.6261179040656224,2
ACF_transition_x_EN_std,1.6035910125525041,1
ACF_high_EN_fraction,1.6005453512049346,1
Al,1.584098155028441,1
Alloy_Class,1.554916881119738,6
ACF_atomic_mass_var,1.5546758193459842,1
ACF_atomic_radius_q50,1.5025857091650863,1
ACF_VEC_min,1.5003191312103115,1
ACF_entropy_weighted_atomic_mass,1.471409779815444,1
PHASE_BCC_IND__X__Density_Exp_g_cm3,1.4583396655213705,1
PHASE_BCC_IND__X__ACF_atomic_mass_mean,1.4470314742602854,1
ACF_entropy_weighted_VEC,1.4304688231262515,1
ACF_VEC_q25,1.4240501425476426,1
ACF_electronegativity_mean,1.395063272446855,1
ACF_atomic_mass_q75,1.367294646024199,1
ACF_light_element_fraction,1.3602998713730345,1
ACF_VEC_q75,1.3273502361970884,1
Fe,1.3265304607158526,1
MI_fraction_range,1.3197156530362772,1
PHASE_TEST_COMPRESSION,1.3050433154551155,1
PHASE_BCC_IND__X__ACF_atomic_mass_max,1.2496127224869809,1
ACF_atomic_radius_q75,1.1866780418163663,1
ACF_atomic_radius_range,1.1737481711935094,1
ACF_electronegativity_q50,1.168821052133439,1
MI_weighted_electronegativity,1.154837752737845,1
Cu,1.142180704114995,1
ACF_atomic_mass_skew,1.1416856043892563,1
ACF_atomic_mass_kurtosis,1.1341632015880814,1
PHASE_BCC_IND__X__ACF_atomic_mass_std,1.1295337792076912,1
ACF_second_fraction,1.1217959260318124,1
ACF_electronegativity_kurtosis,1.1067968177448022,1
ACF_atomic_radius_below_mean_fraction,1.0993634778122505,1
Co,1.0902975245631656,1
PHASE_COMPLEX_IND__X__Density_Calc_g_cm3,1.088343886551796,1
PHASE_COMPLEX_IND__X__ACF_atomic_mass_q75,1.0830136443674476,1
ACF_atomic_radius_above_mean_fraction,1.0233747549951162,1
ACF_VEC_skew,1.0032738449192098,1
PHASE_BCC_IND__X__Density_Calc_g_cm3,0.9808661337471637,1
ACF_atomic_mass_range,0.9702958648236908,1
PHASE_BCC_IND__X__ACF_atomic_mass_skew,0.9455304447114907,1
ACF_atomic_radius_min,0.9314054751680695,1
Si,0.9169901143885857,1
ACF_atomic_mass_q25,0.9134309310252721,1
ACF_electronegativity_min,0.8858863611372509,1
PHASE_TEST_COMPRESSION__X__ACF_atomic_mass_max,0.8835008345101046,1
ACF_atomic_mass_q50,0.8822772523909747,1
Density_Exp_g_cm3,0.8627087355857347,2
ACF_electronegativity_q75,0.8064036776824692,1
PHASE_BCC_IND__X__MI_weighted_atomic_mass,0.7926134013594706,1
ACF_atomic_mass_min,0.7675123145733381,1
PHASE_FCC_IND__X__MI_weighted_VEC,0.7455909489232114,1
MI_weighted_atomic_mass,0.7186522932863362,1
Ni,0.7050611678557125,1
PHASE_COMPLEX_IND__X__ACF_atomic_mass_max,0.7039212469341966,1
Precipitate_Size_nm,0.687881346759183,2
ACF_atomic_radius_max,0.6747970826883517,1
PHASE_TEST_COMPRESSION__X__ACF_atomic_mass_skew,0.6421658977172209,1
PHASE_FCC_IND__X__ACF_atomic_mass_q25,0.6262450455220419,1
PHASE_BCC_IND__X__ACF_atomic_mass_var,0.6207468503596772,1
ACF_atomic_mass_mean,0.6205837099425718,1
ACF_heavy_element_fraction,0.6194342339596322,1
PHASE_TEST_TENSILE__X__ACF_atomic_mass_q50,0.6148522538379007,1
ACF_VEC_max,0.6082882112227569,1
PHASE_COMPLEX_IND__X__MI_weighted_atomic_mass,0.5861334685258616,1
PHASE_COMPLEX_IND__X__ACF_atomic_mass_var,0.5756643528062904,1
PHASE_FCC_IND__X__ACF_atomic_mass_kurtosis,0.5745240644816696,1
PHASE_COMPLEX_IND__X__ACF_atomic_mass_std,0.5687623587509937,1
Hf,0.5561756615826877,1
PHASE_FCC_IND__X__Density_Exp_g_cm3,0.5471427728541044,1
PHASE_TEST_COMPRESSION__X__ACF_atomic_mass_var,0.5378526725938332,1
PHASE_COMPLEX_IND__X__ACF_atomic_mass_mean,0.5212205426283598,1
Mn,0.5129453278766429,1
PHASE_FCC_IND__X__MI_weighted_electronegativity,0.5049729942349963,1
Test_Type,0.4905677811950454,2
PHASE_B2_IND__X__ACF_atomic_mass_std,0.48852015647435226,1
