Seed,Round,Strategy,Training_Records,Training_Compositions,Test_Records,Test_Compositions,MAE_MPa,RMSE_MPa,R2
13,0,Random,559,200,353,146,264.88131269538167,350.4208173640384,0.5316111507537237
13,0,Uncertainty,559,200,353,146,264.88131269538167,350.4208173640384,0.5316111507537237
13,1,Random,759,250,353,146,246.51758592764443,333.37243196699967,0.5760778419395932
13,1,Uncertainty,655,250,353,146,245.18448519214488,331.66923759074206,0.5803983997756195
13,2,Random,876,300,353,146,236.40150224325808,319.3845619054421,0.6109059492494086
13,2,Uncertainty,811,300,353,146,233.9037078947332,312.18943716781706,0.6282395712194991
13,3,Random,999,350,353,146,231.2546767197736,308.51318110367123,0.6369435150981058
13,3,Uncertainty,954,350,353,146,221.76441592502326,294.4790963683303,0.6692227026625284
13,4,Random,1139,400,353,146,217.65163760125267,290.5254780887958,0.6780449808694409
13,4,Uncertainty,1166,400,353,146,217.57248475538907,288.11394081443876,0.6833676411219962
13,5,Random,1226,450,353,146,209.08114688032546,283.62567838430795,0.6931558511888286
13,5,Uncertainty,1270,450,353,146,219.64307891620925,285.9059910827711,0.6882020447291186
13,6,Random,1357,500,353,146,212.99057165942315,281.5772366726896,0.6975721124163652
13,6,Uncertainty,1418,500,353,146,214.80677445313881,285.2754542841159,0.6895758060342317
21,0,Random,565,200,403,146,264.2295253488242,360.4275158911206,0.6254701247097536
21,0,Uncertainty,565,200,403,146,264.2295253488242,360.4275158911206,0.6254701247097536
21,1,Random,703,250,403,146,268.5084809979233,364.80942760365207,0.6163080436314994
21,1,Uncertainty,660,250,403,146,254.25702273173366,350.34028963952295,0.6461405826722151
21,2,Random,870,300,403,146,249.6304493226461,336.22964941875597,0.6740713001392562
21,2,Uncertainty,759,300,403,146,252.1708333700857,345.9050247836488,0.6550435019035903
21,3,Random,953,350,403,146,246.1420210400148,330.19736712397315,0.6856613376259639
21,3,Uncertainty,872,350,403,146,243.55449720904252,328.9594824678427,0.6880137829478333
21,4,Random,1073,400,403,146,244.14044765818858,327.1432961529654,0.6914492268763507
21,4,Uncertainty,1024,400,403,146,231.16580491074023,318.2116796740365,0.7080672484301105
21,5,Random,1177,450,403,146,238.69152880132404,323.41826024999057,0.6984358842770785
21,5,Uncertainty,1233,450,403,146,236.8064648355716,319.45429960368136,0.7057827958341333
21,6,Random,1296,500,403,146,242.95589073404543,329.5352835711578,0.6869206438978814
21,6,Uncertainty,1413,500,403,146,239.29143897968603,323.5766194657929,0.6981404949667431
42,0,Random,560,200,428,146,296.49355462026153,374.37811851469223,0.5081492546463056
42,0,Uncertainty,560,200,428,146,296.49355462026153,374.37811851469223,0.5081492546463056
42,1,Random,685,250,428,146,269.5570546478557,344.0671492970189,0.5845690607086236
42,1,Uncertainty,709,250,428,146,273.447456854134,358.9426731971655,0.5478707492460724
42,2,Random,847,300,428,146,264.5161387155123,337.9524510076705,0.5992037770129743
42,2,Uncertainty,808,300,428,146,269.08507764099693,349.5769648532825,0.5711572879777382
42,3,Random,955,350,428,146,272.0503681751857,348.22938226283077,0.5744572027712681
42,3,Uncertainty,918,350,428,146,244.0299852839675,317.42477115376477,0.6464148236241073
42,4,Random,1090,400,428,146,239.32061837511864,315.5910647394686,0.6504882211756373
42,4,Uncertainty,1022,400,428,146,237.23168577732548,306.6105235405426,0.6700967966476848
42,5,Random,1217,450,428,146,241.7049440835258,313.08846599882844,0.6560094145882768
42,5,Uncertainty,1233,450,428,146,231.83929618821188,300.5798986649681,0.6829466936414831
42,6,Random,1323,500,428,146,234.28947440944208,307.21324471239126,0.6687985040904888
42,6,Uncertainty,1374,500,428,146,225.28190727647444,298.11053506055,0.6881346914116779
77,0,Random,539,200,374,146,238.8771600518864,332.5607340526824,0.6509578249524728
77,0,Uncertainty,539,200,374,146,238.8771600518864,332.5607340526824,0.6509578249524728
77,1,Random,633,250,374,146,237.16999794961043,329.7240441718009,0.6568869771558545
