Round,Strategy,Training_Records,Training_Compositions,Test_Records,Test_Compositions,MAE_MPa,RMSE_MPa,R2
0,Random,1040,400,428,146,239.386697135141,309.1429796131499,0.6646246058505663
0,Uncertainty,1040,400,428,146,239.386697135141,309.1429796131499,0.6646246058505663
0,Uncertainty_Diversity,1040,400,428,146,239.386697135141,309.1429796131499,0.6646246058505663
1,Random,1140,467,428,146,238.41840417794202,314.01302251196523,0.6539747926959363
1,Uncertainty,1140,453,428,146,236.85892239921785,305.666988530521,0.6721241000411233
1,Uncertainty_Diversity,1140,500,428,146,232.390480655278,302.69661694429016,0.6784655186995947
2,Random,1240,503,428,146,235.27136935710016,309.7038994664041,0.6634064680057261
2,Uncertainty,1240,496,428,146,232.33288501119168,303.7286826536705,0.6762691913008974
2,Uncertainty_Diversity,1240,552,428,146,231.89625068792895,306.0352295553553,0.67133363140113
3,Random,1340,535,428,146,230.38356377489322,303.8974074464832,0.6759094189898947
3,Uncertainty,1340,528,428,146,221.6899867482408,296.44234776908894,0.6916152401269666
3,Uncertainty_Diversity,1340,584,428,146,230.19228538498925,304.88353515136504,0.6738026999117329
4,Random,1440,561,428,146,223.79404362530576,299.488308502353,0.6852453425865133
4,Uncertainty,1440,555,428,146,225.24673386390188,299.9213053749973,0.6843345470721651
4,Uncertainty_Diversity,1440,584,428,146,227.74605779259224,304.5297200417846,0.6745593597630964
5,Random,1514,584,428,146,225.67481863488882,302.0380348176905,0.6798631326083299
5,Uncertainty,1514,584,428,146,219.87226899106034,296.40803895508583,0.6916866179391453
5,Uncertainty_Diversity,1514,584,428,146,221.73831350080545,299.53504876925626,0.6851470892371423
6,Random,1514,584,428,146,225.67481863488882,302.0380348176905,0.6798631326083299
6,Uncertainty,1514,584,428,146,219.87226899106034,296.40803895508583,0.6916866179391453
6,Uncertainty_Diversity,1514,584,428,146,221.73831350080545,299.53504876925626,0.6851470892371423
