Seed,Round,Strategy,Training_Records,Training_Compositions,Test_Records,Test_Compositions,MAE_MPa,RMSE_MPa,R2
13,0,Random,1072,400,353,146,230.0773170366584,311.50096129674984,0.6298774604725732
13,0,Uncertainty,1072,400,353,146,230.0773170366584,311.50096129674984,0.6298774604725732
13,1,Random,1400,500,353,146,218.67832674487926,287.35123632682075,0.6850418209353891
13,1,Uncertainty,1375,500,353,146,204.56569770653047,275.3694479545903,0.7107600626983485
13,2,Random,1589,584,353,146,207.29342128366787,275.804183560854,0.7098460749060069
13,2,Uncertainty,1589,584,353,146,207.29342128366787,275.804183560854,0.7098460749060069
13,3,Random,1589,584,353,146,208.11441861368237,277.231205571036,0.7068357709763169
13,3,Uncertainty,1589,584,353,146,208.11441861368237,277.231205571036,0.7068357709763169
13,4,Random,1589,584,353,146,203.76412272717528,269.67210865445253,0.7226048823174243
13,4,Uncertainty,1589,584,353,146,203.76412272717528,269.67210865445253,0.7226048823174243
21,0,Random,1079,400,403,146,253.13518212648302,337.0572950003002,0.6724647466755739
21,0,Uncertainty,1079,400,403,146,253.13518212648302,337.0572950003002,0.6724647466755739
21,1,Random,1380,500,403,146,239.2996022803825,320.161046191616,0.7044795294781078
21,1,Uncertainty,1364,500,403,146,236.1630907015741,321.4390650899738,0.7021155032250606
21,2,Random,1539,584,403,146,236.68935161823433,324.5309763722373,0.6963572602078174
21,2,Uncertainty,1539,584,403,146,236.68935161823433,324.5309763722373,0.6963572602078174
21,3,Random,1539,584,403,146,239.3306995364963,324.39145342907653,0.6966182893542638
21,3,Uncertainty,1539,584,403,146,239.3306995364963,324.39145342907653,0.6966182893542638
21,4,Random,1539,584,403,146,237.64485006039905,324.0759537999164,0.6972081339362916
21,4,Uncertainty,1539,584,403,146,237.64485006039905,324.0759537999164,0.6972081339362916
42,0,Random,1040,400,428,146,242.09811229584597,309.99155936045037,0.6627809064530517
42,0,Uncertainty,1040,400,428,146,242.09811229584597,309.99155936045037,0.6627809064530517
42,1,Random,1313,500,428,146,226.23983065225477,295.9800338948418,0.6925763671851312
42,1,Uncertainty,1342,500,428,146,235.87416225026925,307.3099815066629,0.6685898905890859
42,2,Random,1514,584,428,146,231.69674866635333,304.27157316140625,0.675110871636252
42,2,Uncertainty,1514,584,428,146,231.69674866635333,304.27157316140625,0.675110871636252
42,3,Random,1514,584,428,146,230.4739196497837,303.00077232456255,0.6778190260014526
42,3,Uncertainty,1514,584,428,146,230.4739196497837,303.00077232456255,0.6778190260014526
42,4,Random,1514,584,428,146,227.76319001869842,303.4488871138144,0.6768653596645052
42,4,Uncertainty,1514,584,428,146,227.76319001869842,303.4488871138144,0.6768653596645052
77,0,Random,1079,400,374,146,216.87383413631008,305.6959705918866,0.7050724149963861
77,0,Uncertainty,1079,400,374,146,216.87383413631008,305.6959705918866,0.7050724149963861
77,1,Random,1300,500,374,146,217.84382059633796,300.916954047206,0.7142216789985608
77,1,Uncertainty,1357,500,374,146,221.74631929240508,308.19338575771263,0.7002338473808791
77,2,Random,1568,584,374,146,216.6701007468484,295.56191758363445,0.7243024433606786
77,2,Uncertainty,1568,584,374,146,216.6701007468484,295.56191758363445,0.7243024433606786
77,3,Random,1568,584,374,146,221.8063368067614,306.9010597740523,0.7027425538383785
77,3,Uncertainty,1568,584,374,146,221.8063368067614,306.9010597740523,0.7027425538383785
77,4,Random,1568,584,374,146,225.51801971033677,314.34582439062603,0.688145972196782
77,4,Uncertainty,1568,584,374,146,225.51801971033677,314.34582439062603,0.688145972196782
101,0,Random,1030,400,449,146,234.71876791966358,324.4851555745113,0.5983140349101244
101,0,Uncertainty,1030,400,449,146,234.71876791966358,324.4851555745113,0.5983140349101244
101,1,Random,1233,500,449,146,230.43529266629292,307.97125594035,0.6381593468168765
101,1,Uncertainty,1272,500,449,146,221.6413585738626,299.2413539080614,0.6583824194823387
101,2,Random,1493,584,449,146,228.30619085258365,300.4701993176948,0.6555709287426446
101,2,Uncertainty,1493,584,449,146,228.30619085258365,300.4701993176948,0.6555709287426446
101,3,Random,1493,584,449,146,229.4215280056212,302.26731111900796,0.6514385482139506
101,3,Uncertainty,1493,584,449,146,229.4215280056212,302.26731111900796,0.6514385482139506
101,4,Random,1493,584,449,146,223.1710121973798,294.62621851825645,0.6688385512644157
101,4,Uncertainty,1493,584,449,146,223.1710121973798,294.62621851825645,0.6688385512644157
