Feature,Material_Feature,Mean_Absolute_SHAP,Mean_SHAP,Correlation
categorical__Phase_FCC,phase_fcc,3.3877213,-0.6505466,0.8858660159674796
elements__Al_at_pct,al_at_pct,2.096833,-0.08004696,-0.7139388961791407
elements__Fe_at_pct,fe_at_pct,1.8026068,-0.68843746,0.27579373104115995
numeric__Density_Calc_g_cm3,density_calc_g_cm3,1.7672415,0.6435992,0.5484533533628181
numeric__Grain_Size_um,grain_size_um,1.6967381,-0.9414943,-0.03740999299952324
numeric__Test_Temperature_C,test_temperature_c,1.3861234,-0.09891985,0.8915182687445689
elements__Cr_at_pct,cr_at_pct,1.3611113,-0.86051047,-0.1843358831731573
elements__Ni_at_pct,ni_at_pct,1.2619001,-0.06886297,0.6199750856016216
numeric__Atomic_Size_Mismatch,atomic_size_mismatch,0.95210046,0.41815424,-0.8105546317486388
elements__Mn_at_pct,mn_at_pct,0.9266303,0.056390233,-0.004587990908970183
elements__Hf_at_pct,hf_at_pct,0.88581055,0.67784464,0.4468743693871496
categorical__Processing_Method_WROUGHT,processing_method_wrought,0.8805736,0.35055062,-0.7419695607976102
elements__Mo_at_pct,mo_at_pct,0.8462396,-0.18539791,-0.773407280929969
elements__Co_at_pct,co_at_pct,0.7035852,-0.2853714,0.3130439129183161
numeric__VEC,vec,0.6484439,0.12104375,0.46028348182164774
elements__Nb_at_pct,nb_at_pct,0.63215846,0.047081012,0.6078081744603496
elements__Ta_at_pct,ta_at_pct,0.5902191,-0.17707638,-0.25833065211880707
numeric__Matrix_Volume_pct,matrix_volume_pct,0.5810894,-0.10894489,0.6620054809984568
elements__Cu_at_pct,cu_at_pct,0.54850703,0.008495008,-0.7230872826994943
numeric__Mixing_Enthalpy,mixing_enthalpy,0.44061756,-0.039579995,0.7017155943410099
categorical__Test_Type_C,test_type_c,0.4313424,-0.071817584,0.7725582719402421
elements__Ti_at_pct,ti_at_pct,0.4055365,0.06374128,0.11831381396547076
categorical__Phase_BCC,phase_bcc,0.36307886,0.17331684,0.919989901620544
elements__Zr_at_pct,zr_at_pct,0.3385431,0.072895065,-0.15525772669904087
elements__V_at_pct,v_at_pct,0.3308987,0.10037122,0.5036517388562421
numeric__Mixing_Entropy,mixing_entropy,0.32345396,0.09856552,-0.6803860384673666
categorical__Processing_Method_0; 0; 0; 0,processing_method_0; 0; 0; 0,0.29492897,0.085212424,0.9944579838510299
numeric__Density_Exp_g_cm3,density_exp_g_cm3,0.24882367,0.06890668,0.28087128999267275
