Rank,Feature,Mean_Absolute_SHAP
1,categorical__Phase_FCC,62.30067512404375
2,elements__Al_at_pct,43.70976425737261
3,categorical__Phase_BCC+Sec.,15.236246705877871
4,elements__Ni_at_pct,13.507405595852141
5,elements__Fe_at_pct,11.57560011810127
6,categorical__Test_Type_T,10.903352225850584
7,categorical__Phase_BCC + Im,10.80157535037979
8,categorical__Test_Type_C,10.350371341026364
9,categorical__Processing_Method_POWDER,7.845249723215784
10,elements__Co_at_pct,7.671144659515932
11,categorical__Phase_BCC,7.6141806943331725
12,categorical__Phase_BCC+B2,7.322861028653068
13,numeric__Density_Calc_g_cm3,6.734081948066421
14,elements__Mo_at_pct,6.638016809865214
15,elements__Ti_at_pct,6.226191632732411
16,numeric__Density_Exp_g_cm3,4.894359710872811
17,elements__Cr_at_pct,4.523486392205821
18,elements__Cu_at_pct,4.366994653913987
19,categorical__Phase_B2+Sec.,4.06344564303273
20,elements__Mn_at_pct,3.68827475206257
21,categorical__Phase_BCC+Laves+Sec.,3.6810044188977056
22,elements__Hf_at_pct,3.2178981970030582
23,elements__Nb_at_pct,3.0183526884798835
24,categorical__Phase_BCC+Laves,3.0179690519645916
25,elements__V_at_pct,2.3576726982297473
26,elements__Zr_at_pct,1.91802997459749
27,categorical__Processing_Method_ANNEAL,1.7978601467132793
28,elements__Si_at_pct,1.7870155369438119
29,numeric__Test_Temperature_C,1.5464116250330888
30,elements__Ta_at_pct,1.5343228134904126
31,numeric__Grain_Size_um,1.5316436742971937
32,categorical__Phase_FCC+BCC,1.3431318313532896
33,categorical__Phase_FCC + BCC,1.2562030793881862
34,categorical__Processing_Method_CAST,1.2149038950628657
35,numeric__Matrix_Volume_pct,1.0619381782663517
36,categorical__Phase_FCC+Sec.,0.9488251880039368
37,categorical__Alloy_Class_MPEA,0.9451237902843288
38,categorical__Processing_Method_OTHER,0.8538099546331271
39,categorical__Phase_BCC+B2+Laves,0.8138580283580769
40,numeric__Precipitate_Size_nm,0.731134203066612
41,elements__Pd_at_pct,0.6260901197028721
42,elements__W_at_pct,0.5660129595836444
43,categorical__Alloy_Class_HEA/CCA,0.5453068704178544
44,categorical__Processing_Method_WROUGHT,0.4838217022164312
45,elements__B_at_pct,0.4505288206383748
46,categorical__Phase_FCC+FCC,0.4357385766655639
47,categorical__Phase_Other,0.404743928486956
48,categorical__Phase_BCC+BCC,0.3953609389327841
49,categorical__Phase_FCC+B2,0.3699901927919173
50,categorical__Phase_FCC+BCC+B2,0.34347313380967714
51,categorical__Precipitate_Info_3,0.2782231608154143
52,categorical__Phase_BCC+B2+Sec.,0.2560214038109064
53,categorical__Phase_FCC + Im,0.2287633266907666
54,categorical__Phase_BCC+HCP,0.2186713670726277
55,categorical__Alloy_Class_MPEA/HEA,0.1973072338093743
56,elements__C_at_pct,0.1776437176163534
57,categorical__Phase_FCC + BCC + B2,0.13428623556862004
58,categorical__Phase_1 (face‐centered cubic),0.1342005452568685
59,categorical__Precipitate_Info_2 (body‐centered cubic); Fe–Cr‐rich plate,0.11685745551493486
60,categorical__Phase_B2 (ordered),0.11265683651072142
61,categorical__Phase_BCC+FCC,0.11126380697269134
62,categorical__Processing_Method_Button flipped and re-melted five times to achieve compositional homogeneity; 0; Solutionizing treatment in a vacuum-sealed quartz tube followed by water quenching; 1,0.10946648777306561
63,categorical__Precipitate_Info_BCC (Cr-rich spherical particles),0.10530125907675607
64,categorical__Processing_Method_0; 0; 0; 0,0.09954145724096536
65,categorical__Phase_FCC+L12+Sec.,0.09716991101458533
66,categorical__Phase_Face‑Centered Cubic (FCC),0.09415127325068132
67,categorical__Processing_Method_0; 0; 0; 1,0.08080017552338543
68,categorical__Phase_FCC+HCP,0.07548510926761767
69,categorical__Phase_Face‑Centered Cubic (FCC) – Dual FCC structure,0.07289793583298255
70,categorical__Phase_BCC+BCC+Sec.,0.05992761232956957
71,categorical__Phase_B2+BCC,0.05375617022513445
72,categorical__Phase_2,0.052270556643910136
73,elements__Zn_at_pct,0.044316972883491304
74,categorical__Processing_Method_1; 1; 1; 1,0.04093995727873275
75,elements__Sn_at_pct,0.04001092079945138
76,elements__Sc_at_pct,0.0387834025181036
77,elements__Y_at_pct,0.03790350864716262
78,categorical__Precipitate_Info_L12,0.03654770126062207
79,categorical__Phase_FCC+BCC+Sec.,0.03596746226209184
80,categorical__Phase_B2,0.03489108115133586
81,categorical__Phase_FCC + BCC + Im,0.03449039748704612
82,categorical__Phase_Face‐centered cubic (FCC),0.03290382599264085
83,categorical__Phase_BCC+BCC+HCP,0.028809202384118167
84,categorical__Phase_FCC+BCC+B2+Sec.,0.022848571315277677
85,elements__Re_at_pct,0.0213335841588582
86,categorical__Phase_FCC+B2+Sec.,0.017764279257807273
87,categorical__Phase_FCC+L12,0.012420735675775512
88,categorical__Processing_Method_Yes; Yes; Yes; 1,0.012417352110041082
89,"categorical__Precipitate_Info_1 (L12 structure, i.e. γ′ phase)",0.011136280305797521
90,categorical__Precipitate_Info_γ′ phase with L12 (ordered) crystal structure (Classification: L12 → 1),0.011094073046409343
91,"categorical__Precipitate_Info_2 (body‐centered cubic); Fe–Cr‐rich plate (often associated with the disordered “A2” phase, here classified as BCC)",0.00912780821787809
92,"categorical__Precipitate_Info_L12 (ordered intermetallic phase, cuboidal morphology, code 1)",0.008872109978816222
93,categorical__Phase_Face‑centered cubic (FCC) [classified as “1” in the scheme],0.008421424620395183
94,categorical__Phase_FCC (code 1) – Ni‐rich solid solution with a face‐centered cubic structure,0.008097553310313503
95,categorical__Precipitate_Info_L12 phase [classified as “1”],0.007583236165920854
96,categorical__Phase_Face‐Centered Cubic (FCC) (Classification: 1),0.007277957525131494
97,categorical__Processing_Method_Solution treatment performed immediately after casting (as‑cast); 0; Annealing after forging; 1,0.006720809823073696
98,categorical__Phase_1 (face‑centered cubic),0.0066683440511263814
99,categorical__Precipitate_Info_L12 phase,0.005974054975470325
100,categorical__Phase_Body-Centered Cubic (BCC),0.0009643273263343012
101,elements__Mg_at_pct,0.0
102,elements__Li_at_pct,0.0
103,elements__O_at_pct,0.0
104,elements__Nd_at_pct,0.0
