Feature,Material_Feature,Mean_Absolute_SHAP,Mean_SHAP,Correlation
categorical__Phase_FCC,phase_fcc,62.30067512404373,4.332503449047357,-0.9804954153182582
elements__Al_at_pct,al_at_pct,43.709764257372605,-1.265972556077338,0.8380310927968916
categorical__Phase_BCC+Sec.,phase_bcc+sec.,15.236246705877871,0.05377184762345754,0.8922549097774428
elements__Ni_at_pct,ni_at_pct,13.507405595852147,-3.9294341828436457,-0.7362622328110479
elements__Fe_at_pct,fe_at_pct,11.57560011810127,-0.1939301467469172,-0.7597914003277809
categorical__Test_Type_T,test_type_t,10.90335222585058,3.375935334574991,-0.9175272077959772
categorical__Phase_BCC + Im,phase_bcc + im,10.801575350379792,-0.05629596040438742,0.9959918726682682
categorical__Test_Type_C,test_type_c,10.350371341026367,3.183623844232743,0.9208450326705256
categorical__Processing_Method_POWDER,processing_method_powder,7.845249723215782,2.4923405894393786,0.8487185842215994
elements__Co_at_pct,co_at_pct,7.671144659515937,-0.5125401589124723,0.4298957063487118
categorical__Phase_BCC,phase_bcc,7.6141806943331725,-3.283177574304467,0.5496298173783298
categorical__Phase_BCC+B2,phase_bcc+b2,7.322861028653066,0.9477308193151437,0.9496336503894647
numeric__Density_Calc_g_cm3,density_calc_g_cm3,6.734081948066423,1.2225519512212724,-0.3935620765050493
elements__Mo_at_pct,mo_at_pct,6.638016809865215,-1.127331552607968,0.7216669144473129
elements__Ti_at_pct,ti_at_pct,6.22619163273241,-0.9978676796390115,-0.48584782636496193
numeric__Density_Exp_g_cm3,density_exp_g_cm3,4.894359710872808,-1.4522501437511546,-0.5382126412249377
elements__Cr_at_pct,cr_at_pct,4.523486392205821,-0.3050503831567499,0.2069745920072518
elements__Cu_at_pct,cu_at_pct,4.366994653913988,-0.44511604037930247,-0.48826950373581635
categorical__Phase_B2+Sec.,phase_b2+sec.,4.063445643032732,-1.5956478922467374,0.9972767696851966
elements__Mn_at_pct,mn_at_pct,3.6882747520625694,-0.04441381146692729,-0.6433229293888411
elements__Hf_at_pct,hf_at_pct,3.2178981970030587,-0.19912554421914885,-0.5676681841517388
elements__Nb_at_pct,nb_at_pct,3.018352688479882,1.0166172554296935,-0.6410570791267236
elements__V_at_pct,v_at_pct,2.357672698229747,0.4227282661567199,0.5834335529251422
elements__Zr_at_pct,zr_at_pct,1.9180299745974898,0.05191300439419114,-0.4015352805465339
categorical__Processing_Method_ANNEAL,processing_method_anneal,1.7978601467132795,0.12083336114966575,-0.6622479404458803
elements__Si_at_pct,si_at_pct,1.7870155369438112,-1.5566940117100054,0.3022290208223626
numeric__Test_Temperature_C,test_temperature_c,1.5464116250330902,0.6597796873333839,-0.6332134155724954
elements__Ta_at_pct,ta_at_pct,1.5343228134904126,0.13425309404937105,-0.17051565045129777
numeric__Grain_Size_um,grain_size_um,1.5316436742971935,1.4212015639123967,-0.1382777448800354
categorical__Phase_FCC+BCC,phase_fcc+bcc,1.34313183135329,0.5582558689541063,-0.9260123806680387
categorical__Phase_FCC + BCC,phase_fcc + bcc,1.2562030793881866,0.6022491550841595,-0.8101932350000446
categorical__Processing_Method_CAST,processing_method_cast,1.214903895062865,0.4799744498429301,-0.48855508996559466
numeric__Matrix_Volume_pct,matrix_volume_pct,1.0619381782663517,-0.5322201910173034,-0.9763785128707385
categorical__Phase_FCC+Sec.,phase_fcc+sec.,0.9488251880039369,-0.5998220752359382,-0.7090040002069937
categorical__Alloy_Class_MPEA,alloy_class_mpea,0.945123790284329,-0.307361730125553,-0.21643805317315312
categorical__Processing_Method_OTHER,processing_method_other,0.8538099546331273,0.029670873818300456,0.9344078022723463
numeric__Precipitate_Size_nm,precipitate_size_nm,0.7311342030666121,0.5397543381915519,-0.9793873553746698
elements__W_at_pct,w_at_pct,0.5660129595836442,-0.1403286349856315,-0.1411043757057954
categorical__Alloy_Class_HEA/CCA,alloy_class_hea/cca,0.5453068704178544,-0.0922456337719557,0.3504969973787323
categorical__Processing_Method_WROUGHT,processing_method_wrought,0.4838217022164311,0.14118654070718517,0.7832190909054239
