Feature,Material_Feature,Mean_Absolute_SHAP,Mean_SHAP,Correlation,Direction
categorical__Phase_FCC,phase_fcc,62.30067512404373,4.332503449047357,-0.9804954153182582,Negative
elements__Al_at_pct,al_at_pct,43.709764257372605,-1.265972556077338,0.8380310927968916,Positive
categorical__Phase_BCC+Sec.,phase_bcc+sec.,15.236246705877871,0.05377184762345754,0.8922549097774428,Positive
elements__Ni_at_pct,ni_at_pct,13.507405595852147,-3.9294341828436457,-0.7362622328110479,Negative
elements__Fe_at_pct,fe_at_pct,11.57560011810127,-0.1939301467469172,-0.7597914003277809,Negative
categorical__Test_Type_T,test_type_t,10.90335222585058,3.375935334574991,-0.9175272077959772,Negative
categorical__Phase_BCC + Im,phase_bcc + im,10.801575350379792,-0.05629596040438742,0.9959918726682682,Positive
categorical__Test_Type_C,test_type_c,10.350371341026367,3.183623844232743,0.9208450326705256,Positive
categorical__Processing_Method_POWDER,processing_method_powder,7.845249723215782,2.4923405894393786,0.8487185842215994,Positive
elements__Co_at_pct,co_at_pct,7.671144659515937,-0.5125401589124723,0.4298957063487118,Positive
categorical__Phase_BCC,phase_bcc,7.6141806943331725,-3.283177574304467,0.5496298173783298,Positive
categorical__Phase_BCC+B2,phase_bcc+b2,7.322861028653066,0.9477308193151437,0.9496336503894647,Positive
numeric__Density_Calc_g_cm3,density_calc_g_cm3,6.734081948066423,1.2225519512212724,-0.3935620765050493,Negative
elements__Mo_at_pct,mo_at_pct,6.638016809865215,-1.127331552607968,0.7216669144473129,Positive
elements__Ti_at_pct,ti_at_pct,6.22619163273241,-0.9978676796390115,-0.48584782636496193,Negative
