Rank,Feature,Mean_Absolute_SHAP
1,categorical__Phase_FCC,62.30067512404375
2,elements__Al_at_pct,43.70976425737261
3,categorical__Phase_BCC+Sec.,15.236246705877871
4,elements__Ni_at_pct,13.507405595852141
5,elements__Fe_at_pct,11.57560011810127
6,categorical__Test_Type_T,10.903352225850584
7,categorical__Phase_BCC + Im,10.80157535037979
8,categorical__Test_Type_C,10.350371341026364
9,categorical__Processing_Method_POWDER,7.845249723215784
10,elements__Co_at_pct,7.671144659515932
11,categorical__Phase_BCC,7.6141806943331725
12,categorical__Phase_BCC+B2,7.322861028653068
13,numeric__Density_Calc_g_cm3,6.734081948066421
14,elements__Mo_at_pct,6.638016809865214
15,elements__Ti_at_pct,6.226191632732411
16,numeric__Density_Exp_g_cm3,4.894359710872811
17,elements__Cr_at_pct,4.523486392205821
18,elements__Cu_at_pct,4.366994653913987
19,categorical__Phase_B2+Sec.,4.06344564303273
20,elements__Mn_at_pct,3.68827475206257
