Rank,Feature,Mean_Absolute_SHAP
1,categorical__Test_Type_C,331.04028
2,numeric__Test_Temperature_C,145.26376
3,categorical__Test_Type_T,59.31309
4,elements__V_at_pct,54.393917
5,elements__Fe_at_pct,44.226746
6,elements__Al_at_pct,41.419865
7,numeric__Density_Calc_g_cm3,41.08079
8,elements__Mo_at_pct,39.831745
9,elements__Ti_at_pct,31.058641
10,categorical__Phase_FCC,23.789375
11,elements__Ni_at_pct,21.855642
12,categorical__Processing_Method_WROUGHT,20.613245
13,elements__Co_at_pct,20.16326
14,elements__Cr_at_pct,19.935276
15,categorical__Precipitate_Info_3,18.577738
16,categorical__Phase_BCC,17.12187
17,elements__Nb_at_pct,14.589625
18,categorical__Processing_Method_ANNEAL,13.847357
19,elements__Cu_at_pct,12.776471
20,elements__Zr_at_pct,12.238218
21,categorical__Processing_Method_CAST,9.412801
22,numeric__Density_Exp_g_cm3,8.569995
23,numeric__Grain_Size_um,8.244288
24,numeric__Matrix_Volume_pct,8.144808
25,categorical__Phase_BCC + Im,5.7042217
26,categorical__Alloy_Class_MPEA,5.6200805
27,elements__Mn_at_pct,5.5238104
28,elements__Si_at_pct,5.3152275
29,categorical__Processing_Method_0; 0; 0; 0,4.863692
30,categorical__Phase_BCC+Laves,4.7484636
31,elements__Ta_at_pct,4.6177816
32,elements__Sn_at_pct,4.37327
33,categorical__Phase_BCC+B2,4.3036265
34,categorical__Alloy_Class_MPEA/HEA,3.5073733
35,elements__Hf_at_pct,3.4883173
36,categorical__Alloy_Class_FCC HEA,3.3784778
37,elements__C_at_pct,2.8734882
38,categorical__Phase_FCC+L12,2.3382258
39,categorical__Alloy_Class_HEA/CCA,1.4998564
40,categorical__Phase_Other,1.3537364
41,numeric__Precipitate_Size_nm,1.2584956
42,categorical__Phase_BCC+BCC,1.2143729
43,elements__W_at_pct,1.2041345
44,categorical__Phase_FCC+BCC+B2,1.1732298
45,categorical__Phase_BCC+Sec.,1.1435461
46,categorical__Processing_Method_OTHER,1.0865871
47,categorical__Processing_Method_1; 0; 0; 0,0.9927524
48,categorical__Processing_Method_Yes; 0; 0; 0,0.84355557
49,categorical__Phase_FCC+Sec.,0.8067174
50,categorical__Processing_Method_Solution treatment performed immediately after casting (as‑cast); 0; Annealing after forging; 1,0.7290769
51,categorical__Precipitate_Info_L12,0.72890544
52,categorical__Phase_BCC+Laves+Sec.,0.7288364
53,categorical__Processing_Method_Yes; Yes; Yes; 0,0.7030939
54,categorical__Processing_Method_Yes; Yes (Cold Rolling); 0; 1,0.60614127
55,categorical__Precipitate_Info_μ phase (classified as 9),0.5163859
56,categorical__Phase_FCC+L12+Sec.,0.42148817
57,categorical__Processing_Method_Yes (1); 0; 0; 1,0.3815451
58,categorical__Phase_B2+Laves+Sec.,0.3598699
59,categorical__Phase_1,0.34877065
60,elements__Li_at_pct,0.34318176
61,categorical__Processing_Method_1; 1; 1; 0,0.31849328
62,categorical__Phase_Im,0.28437003
63,categorical__Phase_FCC+HCP,0.25668338
64,categorical__Phase_Face-centered cubic (FCC) → code 1,0.25489953
65,categorical__Processing_Method_0; 1; 0; 1,0.23488373
66,categorical__Phase_Face-centered cubic (FCC) [Classification: 1],0.22089332
67,categorical__Phase_Face‐centered cubic (FCC) [Code 1],0.21827988
68,categorical__Phase_BCC+HCP,0.19479662
69,categorical__Phase_Face-centered cubic (FCC),0.19240668
70,categorical__Processing_Method_Yes (1); 0; 0; 0,0.18724905
