Feature,Material_Feature,Mean_Absolute_SHAP,Mean_SHAP,Correlation,Direction
categorical__Test_Type_C,test_type_c,331.0402,63.09706,0.9613127931665137,Positive
numeric__Test_Temperature_C,test_temperature_c,145.26382,17.220543,-0.9417591223786166,Negative
categorical__Test_Type_T,test_type_t,59.313095,7.9651265,-0.9367301564854389,Negative
elements__V_at_pct,v_at_pct,54.393906,25.510132,0.003219513223754374,Positive
elements__Fe_at_pct,fe_at_pct,44.22675,33.16415,-0.034286925362339446,Negative
elements__Al_at_pct,al_at_pct,41.41988,8.426022,0.07019535558113923,Positive
numeric__Density_Calc_g_cm3,density_calc_g_cm3,41.080776,18.667528,-0.15602131912985795,Negative
elements__Mo_at_pct,mo_at_pct,39.831745,5.1120696,-0.5001535236264214,Negative
elements__Ti_at_pct,ti_at_pct,31.058624,2.1132479,-0.7394883462657238,Negative
categorical__Phase_FCC,phase_fcc,23.789366,6.78898,-0.9531656109272104,Negative
elements__Ni_at_pct,ni_at_pct,21.855646,6.683522,-0.5801123239464144,Negative
categorical__Processing_Method_WROUGHT,processing_method_wrought,20.613264,-13.692993,0.8669901983881633,Positive
elements__Co_at_pct,co_at_pct,20.16326,-2.6985729,-0.09378901384496538,Negative
elements__Cr_at_pct,cr_at_pct,19.935276,2.8388069,0.15109465509870776,Positive
categorical__Precipitate_Info_3,precipitate_info_3,18.577738,0.12094191,-0.967457836040428,Negative
