Rank,Feature,Mean_Absolute_SHAP
1,categorical__Test_Type_C,331.04028
2,numeric__Test_Temperature_C,145.26376
3,categorical__Test_Type_T,59.31309
4,elements__V_at_pct,54.393917
5,elements__Fe_at_pct,44.226746
6,elements__Al_at_pct,41.419865
7,numeric__Density_Calc_g_cm3,41.08079
8,elements__Mo_at_pct,39.831745
9,elements__Ti_at_pct,31.058641
10,categorical__Phase_FCC,23.789375
11,elements__Ni_at_pct,21.855642
12,categorical__Processing_Method_WROUGHT,20.613245
13,elements__Co_at_pct,20.16326
14,elements__Cr_at_pct,19.935276
15,categorical__Precipitate_Info_3,18.577738
16,categorical__Phase_BCC,17.12187
17,elements__Nb_at_pct,14.589625
18,categorical__Processing_Method_ANNEAL,13.847357
19,elements__Cu_at_pct,12.776471
20,elements__Zr_at_pct,12.238218
