composition_canonical,actual_YS_MPa,prediction_YS_MPa,error_MPa,abs_error_MPa,phase,test_type,processing_method,alloy_class,test_temperature_c
Co:20.0000;Cr:20.0000;Cu:20.0000;Ni:20.0000;Zn:20.0000,2121.0,1063.628512900391,-1057.371487099609,1057.371487099609,FCC+FCC,C,POWDER,MPEA,25.0
Al:17.5000;Co:7.5000;Cr:25.0000;Fe:25.0000;Ni:25.0000,2033.0,1248.8945064257814,-784.1054935742186,784.1054935742186,,,0,Cantor-type HEA/MEA,25.0
Al:8.0000;Hf:12.0000;Nb:20.0000;Ta:20.0000;Ti:20.0000;Zr:20.0000,1841.0,1187.4802464843751,-653.5197535156249,653.5197535156249,BCC,C,OTHER,MPEA,23.0
Al:8.0000;Hf:12.0000;Nb:20.0000;Ta:20.0000;Ti:20.0000;Zr:20.0000,1841.0,1202.2420737304687,-638.7579262695313,638.7579262695313,BCC,C,,RHEA/RCCA,
Al:17.5000;Co:7.5000;Cr:25.0000;Fe:25.0000;Ni:25.0000,2033.0,1448.3056539648433,-584.6943460351567,584.6943460351567,FCC+BCC+B2,C,POWDER,MPEA,25.0
Al:19.2308;Co:19.2308;Cr:19.2308;Fe:19.2308;Mo:3.8462;Ni:19.2308,2456.0,1891.4364154101563,-564.5635845898437,564.5635845898437,BCC + Im,C,,HEA/CCA,
Al:8.0000;Hf:12.0000;Nb:20.0000;Ta:20.0000;Ti:20.0000;Zr:20.0000,1841.0,1287.1811111328125,-553.8188888671875,553.8188888671875,BCC,C,OTHER,MPEA,25.0
Al:15.3864;Co:15.3864;Cr:15.3864;Fe:15.3864;Ni:15.3864;Ti:23.0681,2220.0,1680.3458099609375,-539.6541900390625,539.6541900390625,BCC+Sec.,C,CAST,MPEA,25.0
Al:20.0000;Mo:10.0000;Nb:20.0000;Ta:10.0000;Ti:20.0000;Zr:20.0000,2000.0,1489.6017148632814,-510.39828513671864,510.39828513671864,B2+BCC,C,OTHER,MPEA,23.0
Al:19.2308;Co:19.2308;Cr:19.2308;Fe:19.2308;Mo:3.8462;Ni:19.2308,2456.0,1968.770541484375,-487.2294585156251,487.2294585156251,BCC+Sec.,C,CAST,MPEA,25.0
Co:23.8095;Cr:23.8095;Mo:23.8095;Nb:23.8095;Ti:4.7619,1905.6,1441.654806796871,-463.94519320312884,463.94519320312884,BCC+Laves,C,,RHEA/RCCA,
Al:20.0000;Cr:20.0000;Fe:20.0000;Mo:10.0000;Ni:20.0000;Ti:10.0000,2228.7,1765.7106108593719,-462.98938914062796,462.98938914062796,BCC+B2,C,CAST,MPEA,25.0
Co:22.7273;Cr:22.7273;Mo:22.7273;Nb:22.7273;Ti:9.0909,1771.3,1308.5487003710928,-462.7512996289072,462.7512996289072,BCC,C,,RHEA/RCCA,
Al:12.5000;Co:16.6667;Cr:16.6667;Cu:4.1667;Fe:16.6667;Ni:16.6667;Ti:16.6667,1900.0,1457.6810501757814,-442.31894982421863,442.31894982421863,FCC + BCC,C,,HEA/CCA,
Al:9.9910;Nb:20.0120;Ta:15.9916;Ti:30.0030;V:3.9904;Zr:20.0120,2035.0,1605.5647624023436,-429.4352375976564,429.4352375976564,BCC,C,OTHER,MPEA,25.0
Al:18.1818;Co:18.1818;Cr:18.1818;Fe:18.1818;Mo:9.0909;Ni:18.1818,2757.0,2443.3554624999997,-313.6445375000003,313.6445375000003,BCC + Im,C,,HEA/CCA,
Al:18.1818;Co:18.1818;Cr:18.1818;Fe:18.1818;Mo:9.0909;Ni:18.1818,2757.0,2506.888321953125,-250.1116780468751,250.1116780468751,BCC+Sec.,C,CAST,MPEA,25.0
Mo:22.2222;Nb:22.2222;Si:11.1111;Ta:22.2222;W:22.2222,1883.0,2050.017176367188,167.01717636718786,167.01717636718786,BCC+Sec.,C,POWDER,MPEA,25.0
Al:20.0000;Mo:10.0000;Nb:20.0000;Ta:10.0000;Ti:20.0000;Zr:20.0000,2197.0,2083.7024981249997,-113.29750187500031,113.29750187500031,BCC+B2,C,,RHEA/RCCA,
Al:20.0000;Mo:10.0000;Nb:20.0000;Ta:10.0000;Ti:20.0000;Zr:20.0000,2197.0,2091.660638203125,-105.33936179687498,105.33936179687498,BCC+B2,C,OTHER,MPEA,25.0
Al:20.0000;Mo:10.0000;Nb:20.0000;Ta:10.0000;Ti:20.0000;Zr:20.0000,2000.0,2083.7024981249997,83.70249812499969,83.70249812499969,BCC+B2,C,,RHEA/RCCA,
Al:20.0000;Mo:10.0000;Nb:20.0000;Ta:10.0000;Ti:20.0000;Zr:20.0000,2000.0,2067.4028092968747,67.4028092968747,67.4028092968747,BCC+B2,C,OTHER,MPEA,25.0
Hf:22.2222;Mo:11.1111;Nb:22.2222;Si:11.1111;Ti:22.2222;V:11.1111,1787.0,1738.1450200585937,-48.85497994140633,48.85497994140633,BCC+M5Si3,C,,RHEA/RCCA,
Hf:22.2222;Mo:11.1111;Nb:22.2222;Si:11.1111;Ti:22.2222;V:11.1111,1787.0,1755.7083302148435,-31.2916697851565,31.2916697851565,BCC+Sec.,C,CAST,MPEA,25.0
Hf:22.2222;Mo:11.1111;Nb:22.2222;Si:11.1111;Ti:22.2222;V:11.1111,1787.0,1762.1059161523438,-24.894083847656248,24.894083847656248,BCC+Sec.,C,CAST,MPEA,23.0
