element,mean_abs_SHAP,rank
NB,78.28994152470591,1
AL,75.4335281683362,2
NI,68.74560695721063,3
MO,58.21256111822666,4
TI,54.67535840250515,5
CR,34.07840880978507,6
CO,28.398727380300198,7
MN,23.47419174011932,8
TA,18.33224027392487,9
V,18.250077157258623,10
ZR,15.20100557191927,11
FE,15.125478015983665,12
SI,6.404379102976833,13
CU,4.226320341899237,14
C,3.555668425402826,15
HF,2.2869026266943684,16
W,1.9842489168606057,17
MG,1.6652922754372916,18
LI,0.4323397789527217,19
Y,0.25562572196327754,20
ZN,0.18911333847204548,21
SC,0.14580106829154948,22
RE,0.069814361488027,23
PD,0.050239763159089464,24
SN,0.049503739621791436,25
I,0.04095960236396773,26
T,0.03780049732108677,27
CA,0.01210570413764039,28
B,0.0,29
AG,0.0,30
GA,0.0,31
O,0.0,32
ND,0.0,33
S,0.0,34
RU,0.0,35
