feature,mean_abs_SHAP,rank
numeric__test_temperature_c,181.28263154577718,1
numeric__nb_at_pct,78.28994152470591,2
numeric__al_at_pct,75.4335281683362,3
numeric__ni_at_pct,68.74560695721063,4
numeric__mo_at_pct,58.21256111822666,5
numeric__ti_at_pct,54.67535840250515,6
numeric__cr_at_pct,34.07840880978507,7
numeric__co_at_pct,28.398727380300198,8
numeric__density_calc_g_cm3,28.207022917040018,9
numeric__mn_at_pct,23.47419174011932,10
categorical__phase_BCC,22.060443405764506,11
numeric__ta_at_pct,18.33224027392487,12
numeric__v_at_pct,18.250077157258623,13
categorical__test_type_C,16.471593953983792,14
numeric__zr_at_pct,15.20100557191927,15
numeric__fe_at_pct,15.125478015983665,16
categorical__precipitate_info_L12,14.323219090978299,17
categorical__phase_FCC,14.162195102602256,18
categorical__processing_method_POWDER,13.601896614453464,19
numeric__grain_size_um,12.901269897156244,20
categorical__processing_method_WROUGHT,10.231489923065194,21
categorical__phase_BCC+B2,8.321031504309893,22
categorical__test_type_T,8.227443268836117,23
categorical__alloy_class_FCC HEA,7.324336816647368,24
numeric__si_at_pct,6.404379102976833,25
categorical__phase_BCC+Sec.,6.1886788902091565,26
categorical__alloy_class_Cantor-type HEA/MEA,4.962213193263081,27
categorical__processing_method_CAST,4.959388143378702,28
numeric__matrix_volume_pct,4.910453970020094,29
categorical__phase_BCC + Im,4.81427986468956,30
categorical__phase_FCC+BCC,4.715008830724345,31
categorical__alloy_class_MPEA,4.53731392211471,32
numeric__mixing_enthalpy,4.533825920912186,33
numeric__cu_at_pct,4.226320341899237,34
numeric__density_exp_g_cm3,3.955068608532051,35
numeric__c_at_pct,3.555668425402826,36
numeric__vec,3.2915381096758285,37
categorical__alloy_class_MPEA/HEA,3.2228888877255626,38
numeric__mixing_entropy,2.8885484370131143,39
categorical__phase_BCC+Laves,2.7265711539473476,40
categorical__alloy_class_HEA/CCA,2.4791256690192967,41
numeric__hf_at_pct,2.2869026266943684,42
numeric__atomic_size_mismatch,2.0231050305431184,43
numeric__w_at_pct,1.9842489168606057,44
categorical__processing_method_0; 0; 0; 0,1.9182899336652468,45
categorical__phase_BCC+BCC,1.881817744504103,46
numeric__mg_at_pct,1.6652922754372916,47
categorical__phase_BCC+HCP,1.547890256308807,48
categorical__phase_FCC+Sec.,1.2789638214315728,49
categorical__equilibrium_condition_SPS,1.2479954972584972,50
categorical__phase_Other,1.1669462614842092,51
categorical__processing_method_OTHER,1.1456260989084408,52
categorical__phase_BCC+Laves+Sec.,0.9608553416636221,53
categorical__processing_method_0,0.9126735359152874,54
categorical__equilibrium_condition_AC,0.7457580949976769,55
categorical__phase_BCC+FCC,0.7036117516620269,56
categorical__phase_FCC + Im,0.6869389478807015,57
categorical__processing_method_Yes; Yes; Yes; 0,0.6531152559690124,58
categorical__phase_FCC+B2+Sec.,0.653063532582009,59
categorical__processing_method_1,0.6445184950175838,60
numeric__precipitate_size_nm,0.5543347097233905,61
categorical__phase_B2,0.5191703468099947,62
categorical__equilibrium_condition_SPD,0.508404314439325,63
categorical__processing_method_ANNEAL,0.496953054840128,64
categorical__phase_FCC+Laves,0.45394913049664476,65
numeric__li_at_pct,0.4323397789527217,66
categorical__phase_B2+BCC,0.430200286077296,67
categorical__precipitate_info_3,0.4234135059268629,68
categorical__precipitate_info_μ phase (classified as 9),0.4140212481382807,69
categorical__phase_Body‐Centered Cubic (BCC) (classification code 2),0.35369950897971775,70
categorical__processing_method_Yes; 0; 0; 0,0.33805115160895693,71
categorical__processing_method_Button flipped and re-melted five times to achieve compositional homogeneity; 0; Solutionizing treatment in a vacuum-sealed quartz tube followed by water quenching; 1,0.3329140176294302,72
categorical__phase_2 BCC,0.328273576130204,73
categorical__phase_BCC+BCC+HCP,0.32809611875438394,74
categorical__alloy_class_RHEA/RCCA,0.30205829525313505,75
categorical__phase_FCC+L12,0.2956245568309703,76
categorical__single_multiphase_M,0.2877861358754508,77
categorical__phase_Face‐Centered Cubic (FCC) (Classification value: 1),0.2818947357399138,78
categorical__phase_Face–centered cubic (FCC) (classified as 1),0.27931372847596364,79
categorical__equilibrium_condition_CR,0.2723514165956989,80
categorical__phase_Face-centered cubic (FCC) → Code 1,0.26290963095770387,81
numeric__y_at_pct,0.25562572196327754,82
categorical__phase_FCC + BCC + B2,0.25212715095768745,83
categorical__equilibrium_condition_A,0.25158078291236907,84
categorical__processing_method_0; 1; 0; 1,0.24627312743980662,85
categorical__phase_BCC+B2+FCC,0.21088705296275836,86
categorical__phase_Face-centered cubic (FCC) [Classification: 1],0.20762437503506379,87
categorical__phase_FCC+BCC+B2+Sec.,0.19872863911920172,88
numeric__zn_at_pct,0.18911333847204548,89
categorical__processing_method_Yes (1); 0; 0; 0,0.185709880534836,90
categorical__equilibrium_condition_HIP+A,0.18149410158054033,91
categorical__precipitate_info_1,0.1662689256595858,92
categorical__phase_BCC+unknown,0.16383171123273982,93
categorical__processing_method_Yes; Yes (Cold Rolling); 0; 1,0.15707732282218817,94
categorical__single_multiphase_S,0.153369343229592,95
categorical__equilibrium_condition_CR+A,0.14632262937839902,96
numeric__sc_at_pct,0.14580106829154948,97
categorical__processing_method_143,0.13074327001029387,98
categorical__phase_FCC+HCP,0.12499539278895389,99
categorical__phase_2 BCC+HCP,0.12347488119569354,100
categorical__processing_method_Yes (1); Yes (1); 0; 1,0.12102865932252214,101
categorical__phase_FCC+BCC+B2,0.12089949009684028,102
categorical__phase_3 BCC,0.1188714108431644,103
categorical__phase_FCC+B2,0.11780225926713644,104
categorical__phase_Face-Centered Cubic (fcc),0.11541564491853185,105
categorical__precipitate_info_L1₂ (ordered cubic) → Code 1,0.10617367854426188,106
categorical__processing_method_1; 1; 1; 1,0.10146806235493415,107
categorical__processing_method_1 (Yes); 1 (Yes; via cryo-rolling); 0; 1,0.08838273179596283,108
categorical__processing_method_1; 1; 1; 0,0.0862988119029247,109
categorical__phase_BCC+M5Si3,0.08502338794411576,110
categorical__phase_FCC (with L12 precipitates),0.07737205453288604,111
categorical__phase_BCC+B2+Laves,0.07490069420741935,112
categorical__processing_method_Yes; Yes; 0; 1,0.07112991255177241,113
categorical__processing_method_Solution treatment performed immediately after casting (as‑cast); 0; Annealing after forging; 1,0.07051897224034967,114
categorical__processing_method_0; 0; 0; 1,0.06998001400607343,115
numeric__re_at_pct,0.069814361488027,116
categorical__phase_Face‐centered cubic (FCC) [Classification: 1],0.06285665855414584,117
categorical__processing_method_0; 1; 0; 0,0.06186954915598033,118
categorical__phase_Face‐centered cubic (FCC),0.06092332257979123,119
categorical__precipitate_info_L12 (Ordered Ni3Al–type; classified as 1),0.05817929732390667,120
categorical__phase_Face-centered cubic (fcc) (Code: 1),0.05740994589484319,121
categorical__phase_B2+Al3Zr5+Laves,0.05459323798129087,122
categorical__phase_Face‐Centered Cubic (FCC) [Classification: 1],0.05352954607394119,123
categorical__phase_FCC+L12+B2,0.052085719359163375,124
numeric__pd_at_pct,0.050239763159089464,125
categorical__phase_Face‐Centered Cubic (FCC) (Code: 1),0.04965054954166353,126
numeric__sn_at_pct,0.049503739621791436,127
categorical__phase_FCC + BCC,0.04756695729117288,128
categorical__processing_method_Yes; Yes (cold rolling); 0; 1,0.04696310407804698,129
categorical__phase_1,0.045581992561449444,130
categorical__processing_method_Yes; Yes (Cold Rolling); 0; 0,0.043299974722213,131
categorical__phase_γ phase (face‐centered cubic),0.04278560344588939,132
categorical__processing_method_Yes (1); Cold Rolling: Yes (1); 0; 1,0.04145073451716798,133
numeric__i_at_pct,0.04095960236396773,134
categorical__processing_method_Performed with water quenching; Cold‐rolled to 70% thickness reduction; Recrystallized with water quenching; 1,0.04029356060124084,135
categorical__phase_B2+Sec.,0.037822341574796144,136
numeric__t_at_pct,0.03780049732108677,137
categorical__precipitate_info_7,0.037647751828151686,138
categorical__phase_Face–centered cubic (FCC) [Classification code: 1],0.0371979269318299,139
categorical__processing_method_Performed with water quenching; Cold‐rolled to 70% thickness reduction; Recrystallized with water quenching; 0,0.036513478294410956,140
"categorical__precipitate_info_L12 Ni3(Ti,Al)",0.03631465523365818,141
categorical__phase_Face-centered cubic (FCC) → code 1,0.03545070089645886,142
categorical__precipitate_info_L12 (ordered Ni3Al),0.03524813649532151,143
categorical__phase_Face–centered cubic (FCC) (classification value = 1),0.03508976141408292,144
