composition_canonical,actual_YS_MPa,prediction_YS_MPa,error_MPa,abs_error_MPa,phase,test_type,processing_method,alloy_class,test_temperature_c
Co:20.0000;Cr:20.0000;Fe:20.0000;Mn:20.0000;Ni:20.0000,1692.0,614.0082383203123,-1077.9917616796877,1077.9917616796877,FCC,T,WROUGHT,MPEA,-196.0
Co:20.0000;Cr:20.0000;Cu:20.0000;Ni:20.0000;Zn:20.0000,2121.0,1063.628512900391,-1057.371487099609,1057.371487099609,FCC+FCC,C,POWDER,MPEA,25.0
Co:20.0000;Cr:20.0000;Fe:20.0000;Mn:20.0000;Ni:20.0000,1371.21,446.6260443310544,-924.5839556689457,924.5839556689457,FCC,T,WROUGHT,MPEA,25.0
Al:16.4000;Co:16.4000;Cr:16.4000;Fe:16.4000;Ni:34.4000,1490.0,602.7334040527344,-887.2665959472656,887.2665959472656,,,1,Cantor-type HEA/MEA,25.0
Co:20.0000;Cr:20.0000;Fe:20.0000;Mn:20.0000;Ni:20.0000,1300.0,446.6260443310544,-853.3739556689457,853.3739556689457,FCC,T,WROUGHT,MPEA,25.0
Co:20.0000;Cr:20.0000;Fe:20.0000;Mn:20.0000;Ni:20.0000,1300.0,450.60918307128884,-849.3908169287112,849.3908169287112,FCC,C,WROUGHT,MPEA,25.0
Al:20.0000;Mo:10.0000;Nb:20.0000;Ta:10.0000;Ti:20.0000;Zr:20.0000,1597.0,756.3886474121093,-840.6113525878907,840.6113525878907,BCC+B2,C,,RHEA/RCCA,800.0
Al:20.0000;Mo:10.0000;Nb:20.0000;Ta:10.0000;Ti:20.0000;Zr:20.0000,1597.0,756.5390252929687,-840.4609747070313,840.4609747070313,BCC+B2,C,OTHER,MPEA,800.0
Al:16.3912;Co:16.3912;Cr:16.3912;Fe:16.3912;Ni:34.4353,1490.0,652.584883359375,-837.415116640625,837.415116640625,FCC+B2,T,WROUGHT,MPEA,25.0
Co:20.0000;Cr:20.0000;Fe:20.0000;Mn:20.0000;Ni:20.0000,1269.23,446.6260443310544,-822.6039556689457,822.6039556689457,FCC,T,WROUGHT,MPEA,25.0
Al:17.5000;Co:7.5000;Cr:25.0000;Fe:25.0000;Ni:25.0000,2033.0,1248.8945064257814,-784.1054935742186,784.1054935742186,,,0,Cantor-type HEA/MEA,25.0
Al:1.9608;Co:19.6078;Cr:19.6078;Fe:19.6078;Mn:19.6078;Ni:19.6078,1631.0,891.1576049898439,-739.8423950101561,739.8423950101561,FCC+BCC,C,CAST,MPEA,25.0
Co:16.2000;Cr:17.0000;Fe:17.2000;Mn:16.1000;Ni:16.5000;V:17.0000,1700.0,972.8568855679687,-727.1431144320313,727.1431144320313,,,143,Cantor-type HEA/MEA,25.0
Al:16.4000;Co:16.4000;Cr:16.4000;Fe:16.4000;Ni:34.4000,1263.0,584.32695234375,-678.67304765625,678.67304765625,,,0,Cantor-type HEA/MEA,25.0
Al:16.4000;Co:16.4000;Cr:16.4000;Fe:16.4000;Ni:34.4000,1263.0,602.7334040527344,-660.2665959472656,660.2665959472656,,,1,Cantor-type HEA/MEA,25.0
Al:9.0909;Co:18.1818;Cr:18.1818;Cu:0.0000;Fe:18.1818;Ni:18.1818;S:18.1818;Ti:0.0000,1580.0,924.9443282039063,-655.0556717960937,655.0556717960937,FCC + BCC,C,,HEA/CCA,
Al:8.0000;Hf:12.0000;Nb:20.0000;Ta:20.0000;Ti:20.0000;Zr:20.0000,1841.0,1187.4802464843751,-653.5197535156249,653.5197535156249,BCC,C,OTHER,MPEA,23.0
Al:8.0000;Hf:12.0000;Nb:20.0000;Ta:20.0000;Ti:20.0000;Zr:20.0000,1841.0,1202.2420737304687,-638.7579262695313,638.7579262695313,BCC,C,,RHEA/RCCA,
Co:20.6061;Cr:19.8955;Fe:19.4984;Mn:19.1014;Ni:20.8986,1290.0,651.3841238523439,-638.6158761476561,638.6158761476561,BCC,T,WROUGHT,MPEA,25.0
Al:16.3912;Co:16.3912;Cr:16.3912;Fe:16.3912;Ni:34.4353,1263.0,652.584883359375,-610.415116640625,610.415116640625,FCC+B2,T,WROUGHT,MPEA,25.0
Al:17.5000;Co:7.5000;Cr:25.0000;Fe:25.0000;Ni:25.0000,2033.0,1448.3056539648433,-584.6943460351567,584.6943460351567,FCC+BCC+B2,C,POWDER,MPEA,25.0
Al:20.8333;Cr:20.8333;Fe:20.8333;Mo:16.6667;Ni:20.8333,1513.0,2084.667060429686,571.667060429686,571.667060429686,BCC + Im,C,,HEA/CCA,
Al:19.2308;Co:19.2308;Cr:19.2308;Fe:19.2308;Mo:3.8462;Ni:19.2308,2456.0,1891.4364154101563,-564.5635845898437,564.5635845898437,BCC + Im,C,,HEA/CCA,
Al:8.0000;Hf:12.0000;Nb:20.0000;Ta:20.0000;Ti:20.0000;Zr:20.0000,1841.0,1287.1811111328125,-553.8188888671875,553.8188888671875,BCC,C,OTHER,MPEA,25.0
Al:15.3864;Co:15.3864;Cr:15.3864;Fe:15.3864;Ni:15.3864;Ti:23.0681,2220.0,1680.3458099609375,-539.6541900390625,539.6541900390625,BCC+Sec.,C,CAST,MPEA,25.0
Co:20.0000;Cr:20.0000;Fe:20.0000;Mn:20.0000;Ni:20.0000,1362.74,838.8235940429686,-523.9164059570314,523.9164059570314,FCC,T,WROUGHT,MPEA,25.0
Al:20.0000;Mo:10.0000;Nb:20.0000;Ta:10.0000;Ti:20.0000;Zr:20.0000,2000.0,1489.6017148632814,-510.39828513671864,510.39828513671864,B2+BCC,C,OTHER,MPEA,23.0
Al:19.2308;Co:19.2308;Cr:19.2308;Fe:19.2308;Mo:3.8462;Ni:19.2308,2456.0,1968.770541484375,-487.2294585156251,487.2294585156251,BCC+Sec.,C,CAST,MPEA,25.0
Co:23.8095;Cr:23.8095;Mo:23.8095;Nb:23.8095;Ti:4.7619,1905.6,1441.654806796871,-463.94519320312884,463.94519320312884,BCC+Laves,C,,RHEA/RCCA,
Al:20.0000;Cr:20.0000;Fe:20.0000;Mo:10.0000;Ni:20.0000;Ti:10.0000,2228.7,1765.7106108593719,-462.98938914062796,462.98938914062796,BCC+B2,C,CAST,MPEA,25.0
Co:22.7273;Cr:22.7273;Mo:22.7273;Nb:22.7273;Ti:9.0909,1771.3,1308.5487003710928,-462.7512996289072,462.7512996289072,BCC,C,,RHEA/RCCA,
Al:12.5000;Co:16.6667;Cr:16.6667;Cu:4.1667;Fe:16.6667;Ni:16.6667;Ti:16.6667,1900.0,1457.6810501757814,-442.31894982421863,442.31894982421863,FCC + BCC,C,,HEA/CCA,
Al:9.9910;Nb:20.0120;Ta:15.9916;Ti:30.0030;V:3.9904;Zr:20.0120,2035.0,1605.5647624023436,-429.4352375976564,429.4352375976564,BCC,C,OTHER,MPEA,25.0
Al:16.6667;Co:16.6667;Cu:16.6667;Fe:16.6667;Ni:16.6667;Ti:16.6667,1612.0,1217.7435137890625,-394.2564862109375,394.2564862109375,,C,,MPEA,25.0
Al:11.1111;Mo:22.2222;Nb:22.2222;Ti:22.2222;V:22.2222,1625.0,1283.5206694140625,-341.47933058593753,341.47933058593753,BCC,C,,RHEA/RCCA,
Al:20.8333;Cr:20.8333;Fe:20.8333;Mo:16.6667;Ni:20.8333,1513.0,1851.9832019140622,338.9832019140622,338.9832019140622,B2+Sec.,C,CAST,MPEA,25.0
Cr:25.0000;Mo:25.0000;Nb:25.0000;Ti:25.0000,1630.0,1293.66221390625,-336.3377860937501,336.3377860937501,BCC,C,ANNEAL,MPEA,20.0
Al:11.1111;Mo:22.2222;Nb:22.2222;Ti:22.2222;V:22.2222,1625.0,1290.016517558594,-334.98348244140607,334.98348244140607,BCC,C,CAST,MPEA,25.0
Al:3.6000;Co:27.3000;Cr:18.2000;Fe:18.2000;Ni:27.3000;Ti:5.4000,1396.0,1068.3013623828124,-327.6986376171876,327.6986376171876,Face‐centered cubic (FCC) (Classification value = 1),,1; 1; 1; 0,MPEA/HEA,
Al:18.1818;Co:18.1818;Cr:18.1818;Fe:18.1818;Mo:9.0909;Ni:18.1818,2757.0,2443.3554624999997,-313.6445375000003,313.6445375000003,BCC + Im,C,,HEA/CCA,
Al:20.0000;Mo:20.0000;Nb:20.0000;Ti:20.0000;V:20.0000,1375.0,1081.485705,-293.51429499999995,293.51429499999995,BCC,C,,RHEA/RCCA,
Al:20.0000;Mo:20.0000;Nb:20.0000;Ti:20.0000;V:20.0000,1375.0,1097.0389206250002,-277.9610793749998,277.9610793749998,BCC,C,CAST,MPEA,25.0
Al:16.6667;Co:16.6667;Cr:16.6667;Cu:16.6667;Fe:16.6667;Ni:16.6667,1303.0,1563.0702136830357,260.0702136830357,260.0702136830357,FCC+BCC,C,CAST,MPEA,25.0
Cr:25.0000;Mo:25.0000;Nb:25.0000;Ti:25.0000,1268.0,1009.1723710546875,-258.82762894531254,258.82762894531254,BCC,C,ANNEAL,MPEA,200.0
Al:18.1818;Co:18.1818;Cr:18.1818;Fe:18.1818;Mo:9.0909;Ni:18.1818,2757.0,2506.888321953125,-250.1116780468751,250.1116780468751,BCC+Sec.,C,CAST,MPEA,25.0
Nb:20.0000;Ta:20.0000;Ti:20.0000;V:20.0000;W:20.0000,1420.0,1207.7406331054688,-212.25936689453124,212.25936689453124,BCC,C,,RHEA/RCCA,
Nb:20.0000;Ta:20.0000;Ti:20.0000;V:20.0000;W:20.0000,1420.0,1210.325634667969,-209.6743653320309,209.6743653320309,BCC,C,CAST,MPEA,25.0
Mo:20.0000;Nb:20.0000;Ta:20.0000;Ti:20.0000;Zr:20.0000,1375.0,1582.2084266601564,207.20842666015642,207.20842666015642,BCC+BCC,C,CAST,MPEA,25.0
Al:9.0909;Co:18.1818;Cr:18.1818;Cu:9.0909;Fe:18.1818;Ni:18.1818;Ti:9.0909,1580.0,1778.363100136719,198.3631001367189,198.3631001367189,FCC+BCC,C,CAST,MPEA,25.0
Al:13.0435;Hf:17.3913;Nb:17.3913;Ta:17.3913;Ti:17.3913;Zr:17.3913,1415.0,1220.6833125976564,-194.31668740234363,194.31668740234363,BCC,C,,RHEA/RCCA,
Mo:20.0000;Nb:20.0000;Ta:20.0000;Ti:20.0000;Zr:20.0000,1390.0,1582.2084266601564,192.20842666015642,192.20842666015642,BCC+BCC,C,CAST,MPEA,25.0
Al:13.0435;Hf:17.3913;Nb:17.3913;Ta:17.3913;Ti:17.3913;Zr:17.3913,1415.0,1225.2608567382813,-189.7391432617187,189.7391432617187,BCC,C,CAST,MPEA,25.0
Co:20.0000;Cr:20.0000;Fe:20.0000;Mn:20.0000;Ni:20.0000,1314.0,1133.6018800867191,-180.39811991328088,180.39811991328088,FCC+BCC,C,CAST,MPEA,25.0
Mo:22.2222;Nb:22.2222;Si:11.1111;Ta:22.2222;W:22.2222,1883.0,2050.017176367188,167.01717636718786,167.01717636718786,BCC+Sec.,C,POWDER,MPEA,25.0
Cr:20.0000;Mo:10.0000;Nb:20.0000;Ta:10.0000;Ti:20.0000;Zr:20.0000,1595.0,1428.6283028320313,-166.3716971679687,166.3716971679687,2 BCC+Laves,C,,RHEA/RCCA,
Mo:20.0000;Nb:20.0000;Ta:20.0000;Ti:20.0000;Zr:20.0000,1375.0,1532.7349924414063,157.73499244140635,157.73499244140635,2 BCC,C,,RHEA/RCCA,
Cr:20.0000;Mo:10.0000;Nb:20.0000;Ta:10.0000;Ti:20.0000;Zr:20.0000,1595.0,1445.3324963671878,-149.6675036328122,149.6675036328122,BCC+BCC+Laves,C,OTHER,MPEA,23.0
Cr:20.0000;Mo:10.0000;Nb:20.0000;Ta:10.0000;Ti:20.0000;Zr:20.0000,1595.0,1445.667583886719,-149.33241611328094,149.33241611328094,BCC+BCC+Sec.,C,OTHER,MPEA,25.0
Al:9.0000;Co:18.2000;Cr:18.2000;Cu:18.2000;Fe:18.2000;Ni:18.2000,1284.0,1137.7961073242186,-146.2038926757814,146.2038926757814,,,1,Cantor-type HEA/MEA,25.0
Mo:20.0000;Nb:20.0000;Ta:20.0000;Ti:20.0000;Zr:20.0000,1390.0,1532.7349924414063,142.73499244140635,142.73499244140635,2 BCC,C,,RHEA/RCCA,
Mo:18.1818;Nb:18.1818;Ti:18.1818;V:27.2727;Zr:18.1818,1720.0,1594.2869645507812,-125.71303544921875,125.71303544921875,2 BCC,C,,RHEA/RCCA,
Mo:16.6667;Nb:16.6667;Ta:16.6667;Ti:16.6667;V:16.6667;W:16.6667,1515.0,1390.7547169921875,-124.24528300781253,124.24528300781253,BCC,C,CAST,MPEA,23.0
Al:20.0000;Mo:10.0000;Nb:20.0000;Ta:10.0000;Ti:20.0000;Zr:20.0000,2197.0,2083.7024981249997,-113.29750187500031,113.29750187500031,BCC+B2,C,,RHEA/RCCA,
Hf:14.2857;Mo:14.2857;Nb:14.2857;Ta:14.2857;Ti:14.2857;W:14.2857;Zr:14.2857,1637.0,1529.6930534179687,-107.30694658203129,107.30694658203129,BCC+Laves,C,CAST,MPEA,25.0
Al:20.0000;Mo:10.0000;Nb:20.0000;Ta:10.0000;Ti:20.0000;Zr:20.0000,2197.0,2091.660638203125,-105.33936179687498,105.33936179687498,BCC+B2,C,OTHER,MPEA,25.0
Al:16.6667;Co:16.6667;Cr:16.6667;Cu:16.6667;Fe:16.6667;Ni:16.6667,1303.0,1408.0286542578126,105.0286542578126,105.0286542578126,FCC + BCC,C,,HEA/CCA,
Mo:24.5339;Nb:18.8665;Ti:18.8665;V:18.8665;Zr:18.8665,1496.0,1595.3074793945314,99.30747939453136,99.30747939453136,BCC,C,ANNEAL,MPEA,25.0
Mo:16.6667;Nb:16.6667;Ta:16.6667;Ti:16.6667;V:16.6667;W:16.6667,1515.0,1422.5206278320313,-92.47937216796868,92.47937216796868,BCC,C,,RHEA/RCCA,
Al:15.7895;Mo:21.0526;Nb:21.0526;Ti:21.0526;V:21.0526,1260.0,1168.9077666601563,-91.09223333984369,91.09223333984369,BCC,C,,RHEA/RCCA,
Mo:16.6667;Nb:16.6667;Ta:16.6667;Ti:16.6667;V:16.6667;W:16.6667,1515.0,1427.0442790039062,-87.95572099609376,87.95572099609376,BCC,C,CAST,MPEA,25.0
