Rank,Feature,Mean_Absolute_SHAP
1,numeric__test_temperature_c,217.79904
2,categorical__test_type_C,114.55645
3,numeric__mo_at_pct,78.59249
4,numeric__al_at_pct,49.045986
5,numeric__ni_at_pct,46.973866
6,numeric__ti_at_pct,45.167698
7,numeric__co_at_pct,39.703953
8,categorical__phase_FCC,35.182987
9,numeric__cr_at_pct,32.68925
10,numeric__nb_at_pct,32.32904
11,numeric__mn_at_pct,28.191343
12,numeric__density_calc_g_cm3,25.072592
13,numeric__grain_size_um,21.099995
14,numeric__v_at_pct,20.017632
15,numeric__fe_at_pct,19.184814
16,categorical__phase_BCC,19.048702
17,numeric__zr_at_pct,14.809747
18,categorical__processing_method_WROUGHT,13.882354
19,categorical__test_type_T,12.912585
20,categorical__precipitate_info_None,11.549765
21,numeric__ta_at_pct,10.441712
22,categorical__processing_method_POWDER,9.645242
23,numeric__si_at_pct,9.061091
24,numeric__cu_at_pct,8.3986225
25,categorical__test_type_None,7.9204164
26,categorical__phase_FCC+Sec.,6.900249
27,categorical__phase_BCC+Sec.,6.5622916
28,numeric__mixing_enthalpy,5.9493012
29,numeric__matrix_volume_pct,5.619641
30,categorical__processing_method_CAST,5.539011
31,categorical__phase_BCC+B2,5.096306
32,categorical__phase_FCC+BCC,4.8258705
33,numeric__c_at_pct,4.289329
34,numeric__density_exp_g_cm3,4.129042
35,categorical__phase_BCC + Im,4.1142125
36,categorical__phase_BCC+BCC,3.9201763
37,numeric__atomic_size_mismatch,3.5708368
38,categorical__equilibrium_condition_AC,3.237911
39,numeric__vec,3.0952623
40,numeric__mg_at_pct,2.971572
41,categorical__phase_BCC+Laves,2.8283987
42,numeric__w_at_pct,2.600173
43,numeric__hf_at_pct,2.2043371
44,numeric__mixing_entropy,2.20376
45,categorical__phase_BCC+HCP,2.0573204
46,categorical__processing_method_0; 0; 0; 0,1.6414809
47,categorical__processing_method_OTHER,1.5543417
48,categorical__phase_Other,1.5458568
49,categorical__equilibrium_condition_SPS,1.2507199
50,categorical__single_multiphase_S,1.2419717
51,categorical__phase_B2+BCC,0.99076945
52,categorical__alloy_class_MPEA,0.78977394
53,categorical__single_multiphase_M,0.65962076
54,categorical__phase_None,0.6268144
55,categorical__equilibrium_condition_SPD,0.599315
56,categorical__phase_FCC+B2+Sec.,0.5987212
57,categorical__alloy_class_HEA/CCA,0.5528115
58,categorical__processing_method_0,0.5412394
59,numeric__precipitate_size_nm,0.53429425
60,categorical__processing_method_ANNEAL,0.50872815
61,categorical__processing_method_None,0.48200127
62,categorical__phase_FCC+L12,0.42954925
63,categorical__phase_Face–centered cubic (FCC) (classified as 1),0.41712168
64,numeric__y_at_pct,0.40730107
65,categorical__phase_BCC+Laves+Sec.,0.39807543
66,categorical__equilibrium_condition_A,0.3796993
67,categorical__alloy_class_MPEA/HEA,0.3755637
68,categorical__precipitate_info_3,0.36990136
69,categorical__phase_BCC+FCC,0.36902043
70,categorical__processing_method_1,0.36678466
71,numeric__li_at_pct,0.36157393
72,categorical__equilibrium_condition_CR,0.3554201
73,categorical__processing_method_Yes; Yes; Yes; 0,0.35112286
74,categorical__phase_B2,0.34908974
75,categorical__precipitate_info_μ phase (classified as 9),0.3479064
76,categorical__phase_FCC + BCC,0.33770618
77,categorical__processing_method_Yes; 0; 0; 0,0.3369031
78,categorical__processing_method_1; 1; 1; 0,0.32627466
79,categorical__phase_BCC+BCC+HCP,0.30488586
80,categorical__phase_BCC+B2+FCC,0.28719077
81,categorical__alloy_class_Cantor-type HEA/MEA,0.28468373
82,categorical__phase_FCC+BCC+B2+Sec.,0.26776177
83,categorical__phase_Face-centered cubic (FCC) → Code 1,0.25901052
84,categorical__phase_Face-centered cubic (FCC) [Classification: 1],0.24084698
