Feature,Material_Feature,Mean_Absolute_SHAP,Mean_SHAP,Correlation
numeric__test_temperature_c,test_temperature_c,217.79904,14.956566,-0.9759368397618882
categorical__test_type_C,test_type_c,114.55639,47.41975,0.8743960590553835
numeric__mo_at_pct,mo_at_pct,78.59248,-17.871109,0.8754869386573281
numeric__al_at_pct,al_at_pct,49.04601,4.52069,0.784867087319979
numeric__ni_at_pct,ni_at_pct,46.97385,-4.5428543,-0.6074439709224702
numeric__ti_at_pct,ti_at_pct,45.167732,17.09153,0.5185566415504409
numeric__co_at_pct,co_at_pct,39.70394,-9.4837055,-0.7533337866562401
categorical__phase_FCC,phase_fcc,35.182972,-9.722375,-0.918284803630272
numeric__cr_at_pct,cr_at_pct,32.68926,21.765127,0.7249423584161055
numeric__nb_at_pct,nb_at_pct,32.329056,1.620448,0.7627293293699496
numeric__mn_at_pct,mn_at_pct,28.191345,-15.642106,-0.9355866518823296
numeric__density_calc_g_cm3,density_calc_g_cm3,25.072592,2.3685305,0.2777903633052273
numeric__grain_size_um,grain_size_um,21.099983,4.8042264,-0.09039953679981816
numeric__v_at_pct,v_at_pct,20.017641,-4.507872,0.7781439303538629
numeric__fe_at_pct,fe_at_pct,19.18481,8.078107,-0.600713365508973
categorical__phase_BCC,phase_bcc,19.04871,17.621109,0.3713645713516238
numeric__zr_at_pct,zr_at_pct,14.809755,-6.199161,0.8258021473517243
categorical__processing_method_WROUGHT,processing_method_wrought,13.882346,0.26043558,0.9270753162742204
categorical__test_type_T,test_type_t,12.912593,-3.9571877,-0.9095644904442004
categorical__precipitate_info_None,precipitate_info_none,11.5497675,-4.517323,-0.9771523537830479
numeric__ta_at_pct,ta_at_pct,10.44171,-0.6762301,0.6694999334132002
categorical__processing_method_POWDER,processing_method_powder,9.645241,-5.4812675,0.9923444127201796
numeric__si_at_pct,si_at_pct,9.0610895,-3.726438,0.966210054873217
numeric__cu_at_pct,cu_at_pct,8.398621,0.4636567,-0.7814638219389177
categorical__phase_FCC+Sec.,phase_fcc+sec.,6.900256,1.309202,-0.8825401328876782
categorical__phase_BCC+Sec.,phase_bcc+sec.,6.562288,0.26998216,0.8860738130975163
numeric__mixing_enthalpy,mixing_enthalpy,5.949298,1.0763162,0.2246235722904297
numeric__matrix_volume_pct,matrix_volume_pct,5.6196384,-0.9521085,-0.9339434447402469
categorical__processing_method_CAST,processing_method_cast,5.539014,0.0755827,-0.9077122775820228
categorical__phase_BCC+B2,phase_bcc+b2,5.096311,1.3120489,0.9220197341950638
categorical__phase_FCC+BCC,phase_fcc+bcc,4.825869,2.3054578,0.927288718581674
numeric__c_at_pct,c_at_pct,4.289328,-0.82134295,-0.9383512149768192
numeric__density_exp_g_cm3,density_exp_g_cm3,4.1290417,-0.2711343,0.5748760377388611
categorical__phase_BCC + Im,phase_bcc + im,4.114215,0.060741104,0.9279549236874229
categorical__phase_BCC+BCC,phase_bcc+bcc,3.920175,2.6312964,0.9984614682392117
numeric__atomic_size_mismatch,atomic_size_mismatch,3.5708385,-0.26668182,-0.3141692089562435
categorical__equilibrium_condition_AC,equilibrium_condition_ac,3.2379098,-0.12554583,-0.8923451850815989
numeric__vec,vec,3.0952625,0.10840557,0.05224635186110957
numeric__mg_at_pct,mg_at_pct,2.9715734,0.09110021,-0.9792512166798106
categorical__phase_BCC+Laves,phase_bcc+laves,2.828401,-0.60499966,0.9688852879825477
numeric__w_at_pct,w_at_pct,2.6001742,1.4722,0.23579102438554636
numeric__hf_at_pct,hf_at_pct,2.2043374,1.7217189,-0.014859892004643811
numeric__mixing_entropy,mixing_entropy,2.20376,0.24436009,0.7848069803814907
categorical__processing_method_0; 0; 0; 0,processing_method_0; 0; 0; 0,1.6414809,0.20568678,-0.9395465875534511
categorical__processing_method_OTHER,processing_method_other,1.5543392,0.11567282,0.9453626166303926
categorical__phase_Other,phase_other,1.5458565,-0.7720089,-0.9941464588688916
categorical__single_multiphase_S,single_multiphase_s,1.2419713,0.026119553,-0.9565406971897077
categorical__phase_B2+BCC,phase_b2+bcc,0.99076945,0.7492255,0.9935625918582123
categorical__alloy_class_MPEA,alloy_class_mpea,0.7897738,0.14417322,0.7863660508063677
categorical__single_multiphase_M,single_multiphase_m,0.65962106,-0.0744231,0.9581786110282714
categorical__alloy_class_HEA/CCA,alloy_class_hea/cca,0.55281156,-0.24454334,-0.5944069621906586
categorical__processing_method_0,processing_method_0,0.54123956,-0.333644,0.12473601239416802
numeric__precipitate_size_nm,precipitate_size_nm,0.53429425,-0.038917843,0.5349263897210927
categorical__processing_method_ANNEAL,processing_method_anneal,0.5087286,-0.1874156,-0.15239614111382876
categorical__processing_method_None,processing_method_none,0.48200136,0.17403886,-0.23762322906214617
categorical__phase_FCC+L12,phase_fcc+l12,0.42954952,0.078791045,-0.9996416536435294
categorical__equilibrium_condition_A,equilibrium_condition_a,0.3796997,0.053059578,-0.9667980056666843
categorical__alloy_class_MPEA/HEA,alloy_class_mpea/hea,0.37556392,0.15641992,0.902253869695695
categorical__precipitate_info_3,precipitate_info_3,0.36990136,-0.1497927,0.9985188747140731
categorical__processing_method_1,processing_method_1,0.36678448,-0.09781365,-0.5414368914084777
numeric__li_at_pct,li_at_pct,0.36157304,-0.14182553,-0.9624409307391913
categorical__processing_method_Yes; Yes; Yes; 0,processing_method_yes; yes; yes; 0,0.3511232,-0.17238072,0.999284905854998
categorical__phase_B2,phase_b2,0.34909052,-0.2693839,0.721603459756534
categorical__phase_FCC + BCC,phase_fcc + bcc,0.33770582,-0.21049243,-0.9982397117949647
categorical__processing_method_1; 1; 1; 0,processing_method_1; 1; 1; 0,0.3262741,0.0790178,0.9792173083686583
categorical__alloy_class_Cantor-type HEA/MEA,alloy_class_cantor-type hea/mea,0.28468388,-0.20514773,-0.7516361446631049
categorical__phase_Face-centered cubic (FCC) [Classification: 1],phase_face-centered cubic (fcc) [classification: 1],0.24084702,0.045224752,-0.9999933553403438
categorical__phase_Face-Centered Cubic (fcc),phase_face-centered cubic (fcc),0.21791275,0.21534331,0.999999745613087
categorical__processing_method_Yes (1); 0; 0; 0,processing_method_yes (1); 0; 0; 0,0.21113458,0.13234127,0.9999888393478874
categorical__phase_Body‐Centered Cubic (BCC) (classification code 2),phase_body‐centered cubic (bcc) (classification code 2),0.190181,0.078633815,0.9998884470386673
categorical__equilibrium_condition_HIP+A,equilibrium_condition_hip+a,0.178783,-0.0059590028,-0.9376038559326602
categorical__phase_2 BCC,phase_2 bcc,0.17751567,0.044154394,0.9608518745303957
categorical__phase_FCC+BCC+B2,phase_fcc+bcc+b2,0.15554339,0.024446411,-0.878460260703475
categorical__phase_FCC + Im,phase_fcc + im,0.14185004,-0.03229329,-0.921854586676379
categorical__phase_Face‐centered cubic (FCC) [Classification: 1],phase_face‐centered cubic (fcc) [classification: 1],0.12096947,0.07213794,-0.9968317984949877
categorical__alloy_class_FCC HEA,alloy_class_fcc hea,0.116771534,-0.09034138,0.49269445776277115
categorical__alloy_class_RHEA/RCCA,alloy_class_rhea/rcca,0.08299338,-0.024126394,0.41249634940963525
categorical__phase_FCC+BCC+Sec.,phase_fcc+bcc+sec.,0.082743704,-0.051114574,-0.9999909915833906
categorical__phase_BCC+M5Si3,phase_bcc+m5si3,0.06691291,-0.02027867,0.9954156990085916
categorical__phase_B2+Sec.,phase_b2+sec.,0.050785244,-0.0024123704,0.99924878321684
numeric__sn_at_pct,sn_at_pct,0.034777313,-0.016559104,-0.9910772303860497
categorical__phase_FCC+L12+Sec.,phase_fcc+l12+sec.,0.014787676,-0.013045324,0.6065386408329464
categorical__processing_method_0; 1; 1; 0,processing_method_0; 1; 1; 0,0.013979664,0.01391559,-0.02827728482705026
categorical__phase_FCC+B2,phase_fcc+b2,0.0136258695,-0.013165603,0.081518240332759
categorical__phase_Face-centered cubic (FCC),phase_face-centered cubic (fcc),0.012229339,0.011181813,-0.4254911572274632
categorical__phase_B2+Laves+Sec.,phase_b2+laves+sec.,0.011890696,-7.7930286e-05,0.9998988484933263
categorical__phase_FCC+Laves,phase_fcc+laves,0.0069617666,0.0067053107,-0.21934847801142043
numeric__ca_at_pct,ca_at_pct,0.006518029,-0.0054352884,-0.6475388269714917
