Feature,Material_Feature,Mean_Absolute_SHAP,Mean_SHAP,Correlation,Direction
numeric__test_temperature_c,test_temperature_c,217.79904,14.956566,-0.9759368397618882,Negative
categorical__test_type_C,test_type_c,114.55639,47.41975,0.8743960590553835,Positive
numeric__mo_at_pct,mo_at_pct,78.59248,-17.871109,0.8754869386573281,Positive
numeric__al_at_pct,al_at_pct,49.04601,4.52069,0.784867087319979,Positive
numeric__ni_at_pct,ni_at_pct,46.97385,-4.5428543,-0.6074439709224702,Negative
numeric__ti_at_pct,ti_at_pct,45.167732,17.09153,0.5185566415504409,Positive
numeric__co_at_pct,co_at_pct,39.70394,-9.4837055,-0.7533337866562401,Negative
categorical__phase_FCC,phase_fcc,35.182972,-9.722375,-0.918284803630272,Negative
numeric__cr_at_pct,cr_at_pct,32.68926,21.765127,0.7249423584161055,Positive
numeric__nb_at_pct,nb_at_pct,32.329056,1.620448,0.7627293293699496,Positive
numeric__mn_at_pct,mn_at_pct,28.191345,-15.642106,-0.9355866518823296,Negative
numeric__density_calc_g_cm3,density_calc_g_cm3,25.072592,2.3685305,0.2777903633052273,Positive
numeric__grain_size_um,grain_size_um,21.099983,4.8042264,-0.09039953679981816,Negative
numeric__v_at_pct,v_at_pct,20.017641,-4.507872,0.7781439303538629,Positive
numeric__fe_at_pct,fe_at_pct,19.18481,8.078107,-0.600713365508973,Negative
