Rank,Feature,Mean_Absolute_SHAP
1,numeric__test_temperature_c,217.79904
2,categorical__test_type_C,114.55645
3,numeric__mo_at_pct,78.59249
4,numeric__al_at_pct,49.045986
5,numeric__ni_at_pct,46.973866
6,numeric__ti_at_pct,45.167698
7,numeric__co_at_pct,39.703953
8,categorical__phase_FCC,35.182987
9,numeric__cr_at_pct,32.68925
10,numeric__nb_at_pct,32.32904
11,numeric__mn_at_pct,28.191343
12,numeric__density_calc_g_cm3,25.072592
13,numeric__grain_size_um,21.099995
14,numeric__v_at_pct,20.017632
15,numeric__fe_at_pct,19.184814
16,categorical__phase_BCC,19.048702
17,numeric__zr_at_pct,14.809747
18,categorical__processing_method_WROUGHT,13.882354
19,categorical__test_type_T,12.912585
20,categorical__precipitate_info_None,11.549765
