candidate_id,composition,n_elements,Al,Co,Cr,Cu,Fe,Mn,Mo,Nb,Ni,Ti,V,W,composition_sum,valid_composition,Predicted_YS_MPa,Predicted_UTS_MPa,Predicted_Elongation_pct,Predicted_Hardness_HV,UTS_to_YS_Ratio,UTS_YS_Consistency,YS_Score,UTS_Score,Elongation_Score,Hardness_Score,Balanced_Score,Pareto_Optimal,Overall_Rank,YS_Ensemble_Mean_MPa,YS_Uncertainty_STD_MPa,YS_Relative_Uncertainty,Uncertainty_Risk,Predicted_YS_MPa_Normalized,Predicted_UTS_MPa_Normalized,Predicted_Elongation_pct_Normalized,Predicted_Hardness_HV_Normalized,Performance_Score,Uncertainty_Penalty,Uncertainty_Aware_Score,Final_Rank,Nearest_Experimental_Distance,Nearest_Experimental_Record_ID,Nearest_Experimental_Alloy,Nearest_Experimental_Composition,Novelty_Percentile,Novelty_Score,Discovery_Score,Discovery_Rank,Novelty_Category
CAND_00345,Al22.04Cr11.66Nb18.71Ti8.18W39.41,5,22.04,0.0,11.66,0.0,0.0,0.0,0.0,18.71,0.0,8.18,0.0,39.41,100.0,True,1174.6176,1603.441,45.691566,381.3767,1.3650749513612257,True,0.6815953,0.8111786112722092,0.4735618331368565,0.3815644413459498,0.6234573144494573,False,235,1464.9487386067708,170.50245469173024,0.1163880006162436,Low,0.6815953806656317,0.8111786112722092,0.4735618331368565,0.3815644413459498,0.5869750666051619,0.1163880006162436,0.5257805227941835,180,10.090557409765015,R01773,Cr1 Nb1 Ti1 W1,Cr:25.0000;Nb:25.0000;Ti:25.0000;W:25.0000,96.96000000000001,0.6479389808021669,0.6849266304247889,4,Extreme
CAND_02592,Al21.36Cu6.68Fe10.81Ni5.97Ti12.55W42.63,6,21.36,0.0,0.0,6.68,10.81,0.0,0.0,0.0,5.97,12.55,0.0,42.63,100.0,True,1078.4211,1385.5215,44.81098,376.642,1.2847684872791962,True,0.6013703,0.6400414377198458,0.4578119792760393,0.3714183874859548,0.5425892697442688,False,837,1530.949462890625,185.48104012022424,0.1211542540209085,Low,0.6013702484113157,0.6400414377198458,0.4578119792760393,0.3714183874859548,0.5176605132232889,0.1211542540209085,0.4617210445099332,614,12.864986144924904,R01773,Cr1 Nb1 Ti1 W1,Cr:25.0000;Nb:25.0000;Ti:25.0000;W:25.0000,99.18,0.8353663760245501,0.6680627799180829,7,Extreme
CAND_03278,Al44.26Co7.90Fe5.77Ti11.73W30.34,5,44.26,7.9,0.0,0.0,5.77,0.0,0.0,0.0,0.0,11.73,0.0,30.34,100.0,True,1004.5146,1442.4021,44.239113,623.022,1.4359195158429956,True,0.53973436,0.6847110754253405,0.4475837657025509,0.8993894838649307,0.6141379956997519,False,272,1454.7879150390625,202.5838864878641,0.1392532096215719,Low,0.5397343392363081,0.6847110754253405,0.4475837657025509,0.8993894838649307,0.6428546660572825,0.1392532096215719,0.5642772481376821,54,7.4633862470910355,R01773,Cr1 Nb1 Ti1 W1,Cr:25.0000;Nb:25.0000;Ti:25.0000;W:25.0000,92.58,0.47045961664219077,0.6659293519033748,8,Extreme
CAND_00360,Al36.19Fe14.32Nb14.13W35.36,4,36.19,0.0,0.0,0.0,14.32,0.0,0.0,14.13,0.0,0.0,0.0,35.36,100.0,True,1018.3706,1538.9116,42.33925,520.262,1.5111508440403658,True,0.55128986,0.7605021957746062,0.4136034791597557,0.6791836641396949,0.5988160380536678,False,333,1374.7161743164063,185.7520728657753,0.135120307985132,Low,0.5512898473110904,0.7605021957746062,0.4136034791597557,0.6791836641396949,0.6011447965962868,0.135120307985132,0.5295868573291006,167,8.99457717640783,R01773,Cr1 Nb1 Ti1 W1,Cr:25.0000;Nb:25.0000;Ti:25.0000;W:25.0000,95.67999999999999,0.5738996956152224,0.6602604005381105,10,Extreme
CAND_00186,Al23.48Cu10.65Mn21.02W44.85,4,23.48,0.0,0.0,10.65,0.0,21.02,0.0,0.0,0.0,0.0,0.0,44.85,100.0,True,648.13727,1539.9425,51.693375,374.4050333333333,2.375951169409104,True,0.24252585,0.7613117851514869,0.5809080942068002,0.3666247607972495,0.5013720314169021,False,1524,1459.837996419271,198.31256767947724,0.1358455994198695,Low,0.2425258292417652,0.7613117851514869,0.5809080942068002,0.3666247607972494,0.4878426173493254,0.1358455994198695,0.4294972992794882,1036,14.640349264500218,R01773,Cr1 Nb1 Ti1 W1,Cr:25.0000;Nb:25.0000;Ti:25.0000;W:25.0000,99.94,0.9553015831751166,0.6583302309188476,13,Extreme
CAND_01908,Al40.59Cu17.92Nb19.50W21.99,4,40.59,0.0,0.0,17.92,0.0,0.0,0.0,19.5,0.0,0.0,0.0,21.99,100.0,True,930.7706,1483.8318,45.463417,581.232,1.59419705818051,True,0.47823396,0.7172467675461572,0.4694812397496216,0.8098371171238096,0.5974901056858549,False,338,1358.0233805338542,155.05257102200025,0.1141751852321182,Low,0.4782339504179801,0.7172467675461572,0.4694812397496216,0.8098371171238096,0.6186997687093921,0.1141751852321182,0.5552984637514586,74,6.644296651452747,R01773,Cr1 Nb1 Ti1 W1,Cr:25.0000;Nb:25.0000;Ti:25.0000;W:25.0000,88.34,0.4151257645166315,0.6559182742759426,15,Very High
CAND_04637,Al27.06Co5.31Cu5.12Fe19.02W43.49,5,27.06,5.31,0.0,5.12,19.02,0.0,0.0,0.0,0.0,0.0,0.0,43.49,100.0,True,773.5752,1548.0615,45.203125,394.54733333333326,2.001177790317633,True,0.34713748,0.7676878217708424,0.4648257478826832,0.4097879729678567,0.5121222296998257,False,1316,1426.9951171875,192.0050697501672,0.1345520159372336,Low,0.3471374785632857,0.7676878217708424,0.4648257478826832,0.4097879729678567,0.4973597552961669,0.1345520159372336,0.4383754541966123,904,13.794017776663587,R01773,Cr1 Nb1 Ti1 W1,Cr:25.0000;Nb:25.0000;Ti:25.0000;W:25.0000,99.52,0.8981273965580067,0.6534079287573296,18,Extreme
CAND_03366,Al24.06Co9.19Cr21.43Fe7.19W38.13,5,24.06,9.19,21.43,0.0,7.19,0.0,0.0,0.0,0.0,0.0,0.0,38.13,100.0,True,907.7528,1730.1254,50.037045,418.4280333333333,1.9059433201220333,True,0.45903778,0.9106667715753348,0.5512835539060374,0.460962254002427,0.6178766041989183,False,263,1397.399287923177,223.2370180966239,0.159751776049922,Medium,0.4590377629350322,0.9106667715753348,0.5512835539060374,0.460962254002427,0.5954875856047079,0.159751776049922,0.5134612405017562,232,10.180971614686918,R01773,Cr1 Nb1 Ti1 W1,Cr:25.0000;Nb:25.0000;Ti:25.0000;W:25.0000,97.06,0.6540469405074785,0.6514987558616664,20,Extreme
CAND_03613,Al40.86Cr5.87Cu18.13Nb13.69W21.45,5,40.86,0.0,5.87,18.13,0.0,0.0,0.0,13.69,0.0,0.0,0.0,21.45,100.0,True,952.45917,1495.3218,41.934822,585.684,1.5699589557792388,True,0.49632165,0.7262701276590277,0.4063700211020276,0.8193773692590445,0.591276649430326,False,376,1383.1501953125,153.1969172215096,0.1107594227587823,Low,0.4963215980627177,0.7262701276590277,0.4063700211020276,0.8193773692590445,0.6120847790207044,0.1107594227587823,0.5510507194262421,89,6.369383555802748,R00957,Cr1 Fe1 Ni1 V0.5 W1,Cr:22.2222;Fe:22.2222;Ni:22.2222;V:11.1111;W:22.2222,85.94000000000001,0.3965539249241355,0.6489618677280815,21,Very High
CAND_00587,Al32.56Cu5.97Fe20.90W40.57,4,32.56,0.0,0.0,5.97,20.9,0.0,0.0,0.0,0.0,0.0,0.0,40.57,100.0,True,770.53937,1511.745,46.222374,450.1866666666666,1.9619309063467536,True,0.3446057,0.7391676426986876,0.4830556797664335,0.5290182669113396,0.525248668502847,False,1083,1363.2426595052084,189.03066539257824,0.1386625220935994,Low,0.3446056830899408,0.7391676426986876,0.4830556797664335,0.5290182669113396,0.5239618181166004,0.1386625220935994,0.4601554964268246,636,12.280728127934204,R01773,Cr1 Nb1 Ti1 W1,Cr:25.0000;Nb:25.0000;Ti:25.0000;W:25.0000,98.6,0.7958966441570091,0.646523669372653,22,Extreme
CAND_02706,Al20.22Co7.02Cr6.73Cu24.50W41.53,5,20.22,7.02,6.73,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.53,100.0,True,831.15314,1486.8602,46.86783,361.297,1.7889124560082594,True,0.39515585,0.7196250394143747,0.4946000805104693,0.338535375577783,0.5088645998609582,False,1377,1409.5520670572917,162.5567796531835,0.1153251330350298,Low,0.3951558352751315,0.7196250394143747,0.4946000805104693,0.338535375577783,0.4869790826944397,0.1153251330350298,0.4366252209965619,935,12.724539429268113,R01773,Cr1 Nb1 Ti1 W1,Cr:25.0000;Nb:25.0000;Ti:25.0000;W:25.0000,99.1,0.8258784545113763,0.6452131794351302,23,Extreme
CAND_03678,Al43.29Ni6.76Ti27.82W22.13,4,43.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.76,27.82,0.0,22.13,100.0,True,954.20514,1476.86,47.24704,616.808,1.547738467746944,True,0.49777773,0.7117716533568701,0.501382498221585,0.8860734176546093,0.6211214612193003,False,249,1370.98544921875,210.288852113032,0.153385181609961,Low,0.4977776871528828,0.7117716533568701,0.501382498221585,0.8860734176546093,0.6492513140964867,0.153385181609961,0.5629093597251047,59,6.567443390577587,R01773,Cr1 Nb1 Ti1 W1,Cr:25.0000;Nb:25.0000;Ti:25.0000;W:25.0000,87.56,0.4099339185998009,0.6424940287889236,24,Very High
CAND_04407,Al17.27Cu10.86Nb31.00W40.87,4,17.27,0.0,0.0,10.86,0.0,0.0,0.0,31.0,0.0,0.0,0.0,40.87,100.0,True,935.1529,1481.4935,52.101776,353.466,1.5842259709448363,True,0.4818887,0.7154104470107419,0.5882126119559031,0.3217542177900415,0.5545060451173788,False,696,1357.794344075521,181.1207304217873,0.1333933457685056,Low,0.4818886633969149,0.7154104470107419,0.5882126119559031,0.3217542177900415,0.5268164850384003,0.1333933457685056,0.464813462162325,576,11.537819934544132,R01773,Cr1 Nb1 Ti1 W1,Cr:25.0000;Nb:25.0000;Ti:25.0000;W:25.0000,98.2,0.74570925032999,0.641539090487917,25,Extreme
CAND_00486,Al31.72Cu16.15Fe14.56W37.57,4,31.72,0.0,0.0,16.15,14.56,0.0,0.0,0.0,0.0,0.0,0.0,37.57,100.0,True,781.60175,1452.9003,45.643272,484.936,1.8588754543715984,True,0.3538314,0.6929555522866926,0.4726980635080476,0.6034830920531471,0.522733072963746,False,1118,1440.9541422526042,188.0163187367195,0.1304804318358103,Low,0.3538313919104021,0.6929555522866926,0.4726980635080476,0.6034830920531471,0.5307420249395723,0.1304804318358103,0.4694836018326204,528,10.782298946336603,R01773,Cr1 Nb1 Ti1 W1,Cr:25.0000;Nb:25.0000;Ti:25.0000;W:25.0000,97.74000000000001,0.6946697952302657,0.6349606657755689,27,Extreme
CAND_04845,Co36.75Fe14.24Mo5.82W43.19,4,0.0,36.75,0.0,0.0,14.24,0.0,5.82,0.0,0.0,0.0,0.0,43.19,100.0,True,694.56616,1509.8398,55.918045,313.5222,2.1737883046514463,True,0.28124622,0.7376714455109556,0.6564690673657857,0.2361580984640307,0.5052162842662031,False,1454,1056.5375854492188,147.4809561971052,0.1395889348644414,Low,0.2812461968296826,0.7376714455109556,0.6564690673657857,0.2361580984640307,0.4778862020426137,0.1395889348644414,0.4193496333829005,1212,13.772169589655276,R01773,Cr1 Nb1 Ti1 W1,Cr:25.0000;Nb:25.0000;Ti:25.0000;W:25.0000,99.5,0.8966514354963998,0.6315374185816678,30,Extreme
CAND_00187,Al42.89Co17.82Mo6.98Ni19.95W12.36,5,42.89,17.82,0.0,0.0,0.0,0.0,6.98,0.0,19.95,0.0,0.0,12.36,100.0,True,925.708,1551.5797,61.154396,567.3333999999999,1.676100548883087,True,0.4740119,0.7704507447951331,0.7501246138018453,0.7800536157027003,0.6778779886566377,False,138,1364.726611328125,257.5201922860682,0.1886972747131051,High,0.4740118866781279,0.7704507447951331,0.7501246138018453,0.7800536157027003,0.6936602152444515,0.1886972747131051,0.583546568163764,26,5.550389799405771,R01366,Co1 Cr1 Fe1 Ni1 W0.5,Co:22.2222;Cr:22.2222;Fe:22.2222;Ni:22.2222;W:11.1111,75.22,0.3412265472483005,0.6287966539448979,32,Very High
