candidate_id,composition,n_elements,Al,Co,Cr,Cu,Fe,Mn,Mo,Nb,Ni,Ti,V,W,composition_sum,valid_composition,Predicted_YS_MPa,Predicted_UTS_MPa,Predicted_Elongation_pct,Predicted_Hardness_HV,UTS_to_YS_Ratio,UTS_YS_Consistency,YS_Score,UTS_Score,Elongation_Score,Hardness_Score,Balanced_Score,Pareto_Optimal,Overall_Rank,YS_Ensemble_Mean_MPa,YS_Uncertainty_STD_MPa,YS_Relative_Uncertainty,Uncertainty_Risk,Predicted_YS_MPa_Normalized,Predicted_UTS_MPa_Normalized,Predicted_Elongation_pct_Normalized,Predicted_Hardness_HV_Normalized,Performance_Score,Uncertainty_Penalty,Uncertainty_Aware_Score,Final_Rank,Novelty_35D_Distance,Nearest_Experimental_Record_ID,Nearest_Experimental_Alloy,Nearest_Experimental_Composition,Novelty_35D_Percentile,Novelty_35D_Score,Discovery_35D_Score,Discovery_35D_Rank,Novelty_35D_Category
CAND_03278,Al44.26Co7.90Fe5.77Ti11.73W30.34,5,44.26,7.9,0.0,0.0,5.77,0.0,0.0,0.0,0.0,11.73,0.0,30.34,100.0,True,1004.5146,1442.4021,44.239113,623.022,1.4359195158429956,True,0.53973436,0.6847110754253405,0.4475837657025509,0.8993894838649307,0.6141379956997519,False,272,1454.7879150390625,202.5838864878641,0.1392532096215719,Low,0.5397343392363081,0.6847110754253405,0.4475837657025509,0.8993894838649307,0.6428546660572825,0.1392532096215719,0.5642772481376821,54,5.342445426769163,R01592,Al1 Co1 Cr0.091 Nb0.727 W0.212,Al:33.0033;Co:33.0033;Cr:3.0033;Nb:23.9934;W:6.9967,97.36,0.6550202263148153,0.7120695043215308,1,Extreme
CAND_04351,Al32.90Cr29.10Nb18.03Ti10.80W9.17,5,32.9,0.0,29.1,0.0,0.0,0.0,0.0,18.03,0.0,10.8,0.0,9.17,100.0,True,1200.7443,1791.2363,58.198544,523.1571333333334,1.4917716916499848,True,0.7033843,0.9586585607417066,0.6972572765580053,0.6853876852459672,0.7757353391115014,False,3,1362.0655395507813,219.05781719943965,0.1608276627214916,Medium,0.7033843019140019,0.9586585607417066,0.6972572765580053,0.6853876852459672,0.7611719561149203,0.1608276627214916,0.6557148666929575,3,2.959947537794492,R01096,Al1 Co0.256 Cr0.795 Cu0.128 Fe0.205 Ni0.179,Al:39.0168;Co:9.9883;Cr:31.0183;Cu:4.9941;Fe:7.9984;Ni:6.9840,38.86,0.33475545399958523,0.7118519111692743,2,Moderate
CAND_02851,Al31.60Cr27.80Fe9.82Ti11.11W19.67,5,31.6,0.0,27.8,0.0,9.82,0.0,0.0,0.0,0.0,11.11,0.0,19.67,100.0,True,1160.3707,1783.2567,52.322704,510.22673333333336,1.536799108834783,True,0.6697139,0.9523919981345124,0.5921640530573545,0.6576789529437564,0.7333246448657306,False,122,1419.4601114908853,225.2833505151268,0.1587105891115936,Medium,0.6697138731605352,0.9523919981345124,0.5921640530573545,0.6576789529437564,0.7179872193240396,0.1587105891115936,0.619643270779578,9,3.8546773496248683,R01096,Al1 Co0.256 Cr0.795 Cu0.128 Fe0.205 Ni0.179,Al:39.0168;Co:9.9883;Cr:31.0183;Cu:4.9941;Fe:7.9984;Ni:6.9840,74.36,0.45502856769070527,0.7071718733272119,3,High
CAND_02729,Al36.20Fe9.50Mo9.71W44.59,4,36.2,0.0,0.0,0.0,9.5,0.0,9.71,0.0,0.0,0.0,0.0,44.59,100.0,True,800.00836,1519.279,47.581757,537.372,1.899078900313618,True,0.369182,0.745084265421957,0.5073691296632968,0.715848918864284,0.5684995015294445,False,563,1415.9748453776042,179.43989231089705,0.1267253390105563,Low,0.3691819786947822,0.745084265421957,0.5073691296632968,0.715848918864284,0.5843710731610801,0.1267253390105563,0.5186455411344975,209,6.257585309582771,R00957,Cr1 Fe1 Ni1 V0.5 W1,Cr:22.2222;Fe:22.2222;Ni:22.2222;V:11.1111;W:22.2222,99.53999999999999,0.7780369423262696,0.705169129131217,4,Extreme
CAND_01568,Al30.25Cr30.90Nb9.66Ti8.48W20.71,5,30.25,0.0,30.9,0.0,0.0,0.0,0.0,9.66,0.0,8.48,0.0,20.71,100.0,True,1156.1299,1824.3159,53.32445,499.2757333333333,1.57795064994083,True,0.66617715,0.9846367281211416,0.6100809323918637,0.6342119041717531,0.7428961891967383,False,4,1334.12333984375,218.20715269391428,0.1635584553370232,Medium,0.6661771671383399,0.9846367281211416,0.6100809323918637,0.6342119041717529,0.7237766829557746,0.1635584553370232,0.6220372338286464,7,3.7022723972717366,R01772,Cr1 Nb1 Ti1 W1,Cr:25.0000;Nb:25.0000;Ti:25.0000;W:25.0000,69.8,0.434541692302079,0.7022659323386792,5,High
CAND_01908,Al40.59Cu17.92Nb19.50W21.99,4,40.59,0.0,0.0,17.92,0.0,0.0,0.0,19.5,0.0,0.0,0.0,21.99,100.0,True,930.7706,1483.8318,45.463417,581.232,1.59419705818051,True,0.47823396,0.7172467675461572,0.4694812397496216,0.8098371171238096,0.5974901056858549,False,338,1358.0233805338542,155.05257102200025,0.1141751852321182,Low,0.4782339504179801,0.7172467675461572,0.4694812397496216,0.8098371171238096,0.6186997687093921,0.1141751852321182,0.5552984637514586,74,4.806489999816163,R00400,Al1 Co0.333 Cr0.333 Cu0.333 Fe0.333,Al:42.8816;Co:14.2796;Cr:14.2796;Cu:14.2796;Fe:14.2796,93.76,0.582974981876809,0.697880578615987,6,Extreme
CAND_02578,Al29.62Cr29.26Nb17.81Ti23.31,4,29.62,0.0,29.26,0.0,0.0,0.0,0.0,17.81,0.0,23.31,0.0,0.0,100.0,True,1174.8495,1758.3973,58.008778,488.8427333333333,1.4967000615832708,True,0.6817888,0.9328693420518416,0.6938631881126383,0.6118548847362395,0.7496414789586858,False,121,1241.1289469401042,181.802215551814,0.1464813273431673,Low,0.6817887786392564,0.9328693420518416,0.6938631881126383,0.6118548847362392,0.7300940483849938,0.1464813273431673,0.6368128559728914,4,2.6346129129246285,R01819,AlCr1.5NbTiV,Al:18.1818;Cr:27.2727;Nb:18.1818;Ti:18.1818;V:18.1818,25.1,0.2910226893065394,0.688393877658391,7,Moderate
CAND_03678,Al43.29Ni6.76Ti27.82W22.13,4,43.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.76,27.82,0.0,22.13,100.0,True,954.20514,1476.86,47.24704,616.808,1.547738467746944,True,0.49777773,0.7117716533568701,0.501382498221585,0.8860734176546093,0.6211214612193003,False,249,1370.98544921875,210.288852113032,0.153385181609961,Low,0.4977776871528828,0.7117716533568701,0.501382498221585,0.8860734176546093,0.6492513140964867,0.153385181609961,0.5629093597251047,59,4.832714100270092,R00101,Al2CoCrFeNiTi,Al:28.5714;Co:14.2857;Cr:14.2857;Fe:14.2857;Ni:14.2857;Ti:14.2857,94.02000000000001,0.586500128992328,0.6866355813870553,8,Extreme
CAND_01246,Al18.51Co8.78Cr22.40Nb27.35Ti10.61W12.35,6,18.51,8.78,22.4,0.0,0.0,0.0,0.0,27.35,0.0,10.61,0.0,12.35,100.0,True,1210.4055,1743.1118,51.998413,369.851,1.4401056296304364,True,0.7114415,0.9208652888747066,0.5863638974128424,0.3568658600263006,0.6898129010428984,False,27,1536.591707356771,144.12865661794424,0.0937976275206332,Low,0.7114414666521722,0.9208652888747066,0.5863638974128424,0.3568658600263006,0.6438841282415055,0.0937976275206332,0.5886684264446893,24,3.216079027058031,R01772,Cr1 Nb1 Ti1 W1,Cr:25.0000;Nb:25.0000;Ti:25.0000;W:25.0000,49.980000000000004,0.3691856599911005,0.6857351436319428,9,Moderate
CAND_02875,Al18.25Cr39.27Fe12.40Nb30.08,4,18.25,0.0,39.27,0.0,12.4,0.0,0.0,30.08,0.0,0.0,0.0,0.0,100.0,True,1181.0442,1707.6715,58.19433,361.429,1.4458997514654608,True,0.686955,0.8930332097269119,0.6971819064247422,0.3388182401963479,0.6991146770328602,False,127,1440.1081461588542,153.7267308063366,0.106746657337066,Low,0.6869549814301668,0.8930332097269119,0.6971819064247422,0.3388182401963479,0.6539970844445422,0.106746657337066,0.5909185088646387,20,3.322454749439749,R00086,AlCoCrFeNb0.75Ni,Al:17.3913;Co:17.3913;Cr:17.3913;Fe:17.3913;Nb:13.0435;Ni:17.3913,54.50000000000001,0.3834851045640023,0.6853252362443143,10,High
