candidate_id,composition,n_elements,Al,Co,Cr,Cu,Fe,Mn,Mo,Nb,Ni,Ti,V,W,composition_sum,valid_composition
CAND_00001,Fe22.10Mn21.09Mo37.03Ti19.78,4,0.0,0.0,0.0,0.0,22.1,21.09,37.03,0.0,0.0,19.78,0.0,0.0,100.0,True
CAND_00002,Co21.52Cr19.81Cu16.81Fe12.53Mo29.33,5,0.0,21.52,19.81,16.81,12.53,0.0,29.33,0.0,0.0,0.0,0.0,0.0,100.0,True
CAND_00003,Cu26.66Fe19.72Mo5.94Nb14.59V14.74W18.35,6,0.0,0.0,0.0,26.66,19.72,0.0,5.94,14.59,0.0,0.0,14.74,18.35,100.0,True
CAND_00004,Al19.74Co10.23Nb28.60Ni7.63Ti33.80,5,19.74,10.23,0.0,0.0,0.0,0.0,0.0,28.6,7.63,33.8,0.0,0.0,100.0,True
CAND_00005,Al32.92Mn17.29Mo7.12Ni28.92Ti13.75,5,32.92,0.0,0.0,0.0,0.0,17.29,7.12,0.0,28.92,13.75,0.0,0.0,100.0,True
CAND_00006,Fe29.70Mo14.19Ni15.56Ti33.64W6.91,5,0.0,0.0,0.0,0.0,29.7,0.0,14.19,0.0,15.56,33.64,0.0,6.91,100.0,True
CAND_00007,Cr43.15Mo24.06Nb9.18V23.61,4,0.0,0.0,43.15,0.0,0.0,0.0,24.06,9.18,0.0,0.0,23.61,0.0,99.99999999999999,True
CAND_00008,Al18.46Co8.14Cr14.18Cu37.90Mn15.98W5.34,6,18.46,8.14,14.18,37.9,0.0,15.98,0.0,0.0,0.0,0.0,0.0,5.34,100.00000000000001,True
CAND_00009,Co10.36Mn29.69Nb23.58V18.75W17.62,5,0.0,10.36,0.0,0.0,0.0,29.69,0.0,23.58,0.0,0.0,18.75,17.62,100.0,True
CAND_00010,Co7.72Mn20.39Ni32.79W39.10,4,0.0,7.72,0.0,0.0,0.0,20.39,0.0,0.0,32.79,0.0,0.0,39.1,100.0,True
CAND_00011,Co37.48Nb30.37Ni23.54W8.61,4,0.0,37.48,0.0,0.0,0.0,0.0,0.0,30.37,23.54,0.0,0.0,8.61,99.99999999999999,True
CAND_00012,Al6.49Cu9.60Nb20.66V20.88W42.37,5,6.49,0.0,0.0,9.6,0.0,0.0,0.0,20.66,0.0,0.0,20.88,42.37,100.0,True
CAND_00013,Co18.34Mn19.41Nb8.78Ni16.98V13.47W23.02,6,0.0,18.34,0.0,0.0,0.0,19.41,0.0,8.78,16.98,0.0,13.47,23.02,100.0,True
