candidate_id,composition,n_elements,Al,Co,Cr,Cu,Fe,Mn,Mo,Nb,Ni,Ti,V,W,composition_sum,valid_composition,Predicted_YS_MPa,Predicted_UTS_MPa,Predicted_Elongation_pct,Predicted_Hardness_HV,UTS_to_YS_Ratio,UTS_YS_Consistency,YS_Score,UTS_Score,Elongation_Score,Hardness_Score,Balanced_Score,Pareto_Optimal,Overall_Rank,YS_Ensemble_Mean_MPa,YS_Uncertainty_STD_MPa,YS_Relative_Uncertainty,Uncertainty_Risk,Predicted_YS_MPa_Norm,Predicted_UTS_MPa_Norm,Predicted_Elongation_pct_Norm,Predicted_Hardness_HV_Norm,Performance_Score,Uncertainty_Aware_Score,Uncertainty_Aware_Rank
CAND_03577,Al43.94Co18.64Cr30.43W6.99,4,43.94,18.64,30.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.99,100.0,True,945.67615,1799.2856,63.378998,669.9723333333334,1.902644583804861,True,0.49066475,0.9649798603549816,0.789913068760795,1.0,0.7841716623189023,True,2,1338.0238810221354,265.99854619829557,0.19879955056937812,High,0.4906647532026274,0.9649798603549815,0.789913068760795,1.0,0.811389420579601,0.6768349389138709,1
CAND_01212,Al35.04Co17.31Cr29.08Nb12.60Ti5.97,5,35.04,17.31,29.08,0.0,0.0,0.0,0.0,12.6,0.0,5.97,0.0,0.0,100.0,True,1145.7308,1843.8789,59.48518,557.0157333333334,1.6093473647873544,True,0.6575047,1.0,0.7202695990024529,0.7579437456561352,0.7910103708912546,True,1,1324.7680257161458,239.47948092000567,0.18077087933228717,High,0.6575046148851306,1.0,0.7202695990024529,0.7579437456561352,0.7839294898859297,0.6639132990214267,2
CAND_04351,Al32.90Cr29.10Nb18.03Ti10.80W9.17,5,32.9,0.0,29.1,0.0,0.0,0.0,0.0,18.03,0.0,10.8,0.0,9.17,100.0,True,1200.7443,1791.2363,58.198544,523.1571333333334,1.4917716916499848,True,0.7033843,0.9586585607417066,0.6972572765580053,0.6853876852459672,0.7757353391115014,True,3,1362.0655395507813,219.05781719943965,0.16082766272149168,Medium,0.7033843019140019,0.9586585607417066,0.6972572765580053,0.6853876852459672,0.7611719561149203,0.6557148666929574,3
CAND_02578,Al29.62Cr29.26Nb17.81Ti23.31,4,29.62,0.0,29.26,0.0,0.0,0.0,0.0,17.81,0.0,23.31,0.0,0.0,100.0,True,1174.8495,1758.3973,58.008778,488.8427333333333,1.4967000615832708,True,0.6817888,0.9328693420518416,0.6938631881126383,0.6118548847362395,0.7496414789586858,False,121,1241.1289469401042,181.80221555181393,0.1464813273431673,Low,0.6817887786392564,0.9328693420518415,0.6938631881126383,0.6118548847362392,0.7300940483849938,0.6368128559728914,4
CAND_01687,Al43.28Cr21.23Cu9.30Ti26.19,4,43.28,0.0,21.23,9.3,0.0,0.0,0.0,0.0,0.0,26.19,0.0,0.0,100.0,True,1153.7106,1595.7526,50.573265,633.3050333333333,1.3831481133236352,True,0.66415954,0.8051407346932892,0.5608741976787609,0.9214251376643524,0.7192224073463025,True,12,1294.5698527018228,211.30701645733316,0.16322565832683833,Medium,0.6641595400680946,0.8051407346932892,0.5608741976787609,0.9214251376643524,0.7378999025261244,0.6343566248250624,5
CAND_02156,Al44.04Cr13.99Cu8.33Mn8.92Mo8.03Nb16.69,6,44.04,0.0,13.99,8.33,0.0,8.92,8.03,16.69,0.0,0.0,0.0,0.0,100.0,True,1087.7585,1546.5494,51.430122,623.031,1.4217763741962388,True,0.60915744,0.7665003350148223,0.5761996429272865,0.8994087700889235,0.6916585715845067,True,26,1419.30673828125,194.92942580345613,0.13734129525764915,Low,0.6091573732018376,0.7665003350148223,0.5761996429272865,0.8994087700889235,0.7128165303082175,0.626739337857893,6
CAND_01568,Al30.25Cr30.90Nb9.66Ti8.48W20.71,5,30.25,0.0,30.9,0.0,0.0,0.0,0.0,9.66,0.0,8.48,0.0,20.71,100.0,True,1156.1299,1824.3159,53.32445,499.2757333333333,1.57795064994083,True,0.66617715,0.9846367281211416,0.6100809323918637,0.6342119041717531,0.7428961891967383,True,4,1334.12333984375,218.20715269391428,0.16355845533702326,Medium,0.6661771671383399,0.9846367281211416,0.6100809323918637,0.6342119041717529,0.7237766829557746,0.6220372338286464,7
CAND_02582,Al40.47Co37.98Cr14.58Ni6.97,4,40.47,37.98,14.58,0.0,0.0,0.0,0.0,0.0,6.97,0.0,0.0,0.0,100.0,True,992.8647,1601.7384,57.172855,619.979,1.61324944285381,True,0.5300187,0.8098415205038739,0.678912161081893,0.8928685972414985,0.7056163981427936,True,18,1240.177372233073,214.06533587867298,0.17260864507890938,Medium,0.5300186555238077,0.8098415205038739,0.678912161081893,0.8928685972414985,0.7279102335877683,0.6207614421423479,8
CAND_02851,Al31.60Cr27.80Fe9.82Ti11.11W19.67,5,31.6,0.0,27.8,0.0,9.82,0.0,0.0,0.0,0.0,11.11,0.0,19.67,100.0,True,1160.3707,1783.2567,52.322704,510.22673333333336,1.536799108834783,True,0.6697139,0.9523919981345124,0.5921640530573545,0.6576789529437564,0.7333246448657306,False,122,1419.4601114908853,225.28335051512678,0.15871058911159364,Medium,0.6697138731605352,0.9523919981345124,0.5921640530573545,0.6576789529437564,0.7179872193240396,0.619643270779578,9
CAND_00960,Al37.55Cr34.69Cu6.86Fe6.29Mn5.32Nb9.29,6,37.55,0.0,34.69,6.86,6.29,5.32,0.0,9.29,0.0,0.0,0.0,0.0,100.0,True,1114.2775,1705.6156,54.2524,562.3697333333334,1.5306919975666513,True,0.63127345,0.8914186643782567,0.626677922226071,0.7694169060182305,0.7288896622338347,True,7,1342.7111735026042,241.75355033956296,0.18004881102532516,High,0.6312734614405179,0.8914186643782567,0.626677922226071,0.7694169060182305,0.7296967385157691,0.6183614878453608,10
CAND_03139,Al37.99Cr37.74Nb10.98Ni13.29,4,37.99,0.0,37.74,0.0,0.0,0.0,0.0,10.98,13.29,0.0,0.0,0.0,100.0,True,1061.3383,1737.9778,55.950146,535.7124666666666,1.6375343004983731,True,0.58712363,0.9168334411097392,0.6570432146481477,0.7122926820208817,0.7222918280274,False,123,1290.0698120117188,231.7102262678338,0.17961061030217254,High,0.5871236813400185,0.9168334411097391,0.6570432146481477,0.7122926820208817,0.7183232547796968,0.6089494690079881,11
CAND_04371,Al36.49Co19.97Cr24.13Ni8.49Ti10.92,5,36.49,19.97,24.13,0.0,0.0,0.0,0.0,0.0,8.49,10.92,0.0,0.0,100.0,True,1012.35913,1809.0658,53.328842,562.8677333333333,1.7869802769144918,True,0.54627645,0.9726604753746416,0.6101594861710025,0.7704840770791797,0.7237935667246342,True,8,1262.3872599283854,250.82902958993017,0.198694202287941,High,0.5462764531045149,0.9726604753746417,0.6101594861710025,0.7704840770791797,0.7248951229323347,0.6047373229542041,12
CAND_03250,Al37.19Co17.76Cr7.16Nb28.56Ti9.33,5,37.19,17.76,7.16,0.0,0.0,0.0,0.0,28.56,0.0,9.33,0.0,0.0,100.0,True,1099.3997,1622.9808,52.23136,576.6029333333333,1.4762427729444847,True,0.6188658,0.8265236636598041,0.5905303061535171,0.7999174263891259,0.7012370259895716,True,22,1373.2309977213542,242.14374108974818,0.17633139762468583,High,0.6188658013629343,0.8265236636598041,0.5905303061535171,0.7999174263891259,0.7089592993913454,0.6026867095640869,13
CAND_02513,Al37.55Co9.84Cr21.02Cu5.61Ti15.94W10.04,6,37.55,9.84,21.02,5.61,0.0,0.0,0.0,0.0,0.0,15.94,0.0,10.04,100.0,True,1135.5042,1604.733,52.279263,565.8024333333334,1.4132339361753592,True,0.6489759,0.812193248458095,0.5913870824927898,0.7767728861405623,0.7027134536888193,True,21,1362.834578450521,237.5829621881517,0.17433000743074217,High,0.648975922702858,0.812193248458095,0.5913870824927898,0.7767728861405623,0.7073322849485761,0.6023283748799991,14
CAND_00792,Al43.54Cr22.27Fe13.73W20.46,4,43.54,0.0,22.27,0.0,13.73,0.0,0.0,0.0,0.0,0.0,0.0,20.46,100.0,True,907.08057,1777.7228,49.013107,618.6953333333333,1.959829000684179,True,0.45847714,0.948046099742118,0.532969756204805,0.8901178102564138,0.688717082354187,False,132,1337.6447672526042,238.93502518564753,0.17862367575839844,High,0.45847714232352027,0.948046099742118,0.532969756204805,0.8901178102564138,0.7074027021317142,0.6001938673737638,15
CAND_04467,Al36.23Co7.15Cr22.66Fe17.86Ti16.10,5,36.23,7.15,22.66,0.0,17.86,0.0,0.0,0.0,0.0,16.1,0.0,0.0,100.0,True,1198.2494,1724.7285,48.215652,519.4071666666667,1.4393735685574016,True,0.7013036,0.9064284624201436,0.5187067543962617,0.6773518300126503,0.7135990911471889,False,124,1356.8843180338542,228.83651940672422,0.16864851068388187,Medium,0.7013036266039718,0.9064284624201435,0.5187067543962617,0.6773518300126503,0.7009476683582568,0.5997934040476113,16
CAND_02476,Al28.16Co11.76Cr32.84Ni5.45Ti8.12W13.67,6,28.16,11.76,32.84,0.0,0.0,0.0,0.0,0.0,5.45,8.12,0.0,13.67,100.0,True,1068.8793,1759.1621,61.04905,480.71906666666666,1.6458005551457535,True,0.59341264,0.9334699570052204,0.7482404320128756,0.5944465675164271,0.734291880486117,True,5,1354.2581380208333,271.6286118371869,0.20057373421743344,High,0.5934126598613764,0.9334699570052203,0.7482404320128756,0.5944465675164271,0.7173924040989749,0.5975413118350376,17
CAND_02500,Al19.26Cr29.14Fe9.73Nb24.48Ti17.39,5,19.26,0.0,29.14,0.0,9.73,0.0,0.0,24.48,0.0,17.39,0.0,0.0,100.0,True,1323.7448,1612.653,58.4666,371.543,1.2182507230418116,True,0.80596316,0.8184130058204914,0.7020516326192137,0.3604916701369964,0.7168995139642096,True,14,1350.213777669271,171.68832335677808,0.12715640011698384,Low,0.8059632042633285,0.8184130058204914,0.7020516326192137,0.3604916701369964,0.6717298782100074,0.5959509063163646,18
CAND_04367,Al23.99Cr44.48Ni23.42Ti8.11,4,23.99,0.0,44.48,0.0,0.0,0.0,0.0,0.0,23.42,8.11,0.0,0.0,100.0,True,1306.1501,1665.7268,60.027218,369.86143333333337,1.2752950374682872,True,0.7912898,0.8600930763129594,0.7299643014926237,0.3568882177600407,0.7314391877420011,True,6,1344.710575358073,208.39461438067784,0.15497358182461382,Low,0.7912897272192052,0.8600930763129594,0.7299643014926237,0.35688821776004076,0.6845588306962073,0.5927051851824603,19
CAND_02875,Al18.25Cr39.27Fe12.40Nb30.08,4,18.25,0.0,39.27,0.0,12.4,0.0,0.0,30.08,0.0,0.0,0.0,0.0,100.0,True,1181.0442,1707.6715,58.19433,361.429,1.4458997514654608,True,0.686955,0.8930332097269119,0.6971819064247422,0.3388182401963479,0.6991146770328602,False,127,1440.1081461588542,153.7267308063366,0.10674665733706602,Low,0.6869549814301668,0.8930332097269119,0.6971819064247422,0.3388182401963479,0.6539970844445422,0.5909185088646386,20
CAND_04438,Al36.84Cr30.36Mo5.06Ni16.10Ti11.64,5,36.84,0.0,30.36,0.0,0.0,0.0,5.06,0.0,16.1,11.64,0.0,0.0,100.0,True,1183.0824,1604.3557,55.072083,506.8092,1.3560811178014098,True,0.6886548,0.811896946128192,0.641338486284773,0.6503554736803757,0.7080534754792319,False,126,1421.750907389323,258.0192382823989,0.18147991813571923,High,0.6886547819900701,0.811896946128192,0.641338486284773,0.6503554736803757,0.6980614220208526,0.5908364681494864,21
CAND_03443,Al31.56Co15.61Cr12.97Nb30.57Ti9.29,5,31.56,15.61,12.97,0.0,0.0,0.0,0.0,30.57,0.0,9.29,0.0,0.0,100.0,True,1137.7124,1616.4197,51.15439,528.6267333333334,1.4207630124011013,True,0.6508175,0.8213710815852561,0.5712679966090952,0.6971085664406845,0.6890398745546467,False,131,1409.5215250651042,226.0012024771277,0.160338950812893,Medium,0.6508174984051337,0.8213710815852561,0.5712679966090952,0.6971085664406845,0.6851412857600424,0.5904665057395999,22
CAND_02137,Al18.37Cr36.64Nb15.18Ti24.76W5.05,5,18.37,0.0,36.64,0.0,0.0,0.0,0.0,15.18,0.0,24.76,0.0,5.05,100.0,True,1225.6493,1719.69,56.201027,356.962,1.4030848883409317,True,0.72415435,0.9024716129920584,0.6615303846536392,0.3292458443544578,0.7027572656369636,True,20,1414.1574300130208,156.1514729033803,0.11042014813155741,Low,0.7241543602715694,0.9024716129920584,0.6615303846536392,0.3292458443544578,0.6543505505679311,0.5892819503221106,23
CAND_01246,Al18.51Co8.78Cr22.40Nb27.35Ti10.61W12.35,6,18.51,8.78,22.4,0.0,0.0,0.0,0.0,27.35,0.0,10.61,0.0,12.35,100.0,True,1210.4055,1743.1118,51.998413,369.851,1.4401056296304364,True,0.7114415,0.9208652888747066,0.5863638974128424,0.3568658600263006,0.6898129010428984,True,27,1536.591707356771,144.12865661794424,0.09379762752063323,Low,0.7114414666521722,0.9208652888747066,0.5863638974128424,0.3568658600263006,0.6438841282415055,0.5886684264446893,24
