record_id,alloy_name,composition_canonical,actual_ys_mpa,predicted_ys_mpa,uncertainty_std_mpa,lower_95_mpa,upper_95_mpa,absolute_error_mpa,relative_error_pct
R01136,Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,Co:20.6061;Cr:19.8955;Fe:19.4984;Mn:19.1014;Ni:20.8986,1120.0,1331.7522,281.77698,779.4693,1884.0352,211.752197265625,18.906446184430802
R00315,Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,Al:18.1818;Co:18.1818;Cr:18.1818;Fe:18.1818;Mo:9.0909;Ni:18.1818,2757.0,2153.5994,280.99454,1602.8501,2704.3486,603.400634765625,21.886131112282374
R00061,AlC1.5CoCrFeNi,Al:15.3846;C:23.0769;Co:15.3846;Cr:15.3846;Fe:15.3846;Ni:15.3846,1255.0,1534.5542,276.437,992.7377,2076.3706,279.55419921875,22.27523499750996
R01757,Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.75,Al:19.0476;Cr:19.0476;Fe:19.0476;Mo:9.5238;Ni:19.0476;Ti:14.2857,618.8,1765.7657,272.89505,1230.8914,2300.6401,1146.9657470703125,185.35322350845388
R01632,Al0.333 Ca0.011 Li0.867 Mg1 Si0.011,Al:14.9865;Ca:0.4950;Li:39.0189;Mg:45.0045;Si:0.4950,300.0,664.31213,256.23187,162.09766,1166.5266,364.3121337890625,121.4373779296875
R01630,Al0.312 Ca0.021 Li0.792 Mg1 Si0.021,Al:14.5387;Ca:0.9786;Li:36.9059;Mg:46.5983;Si:0.9786,360.0,672.19073,248.6888,184.76068,1159.6208,312.19073486328125,86.71964857313368
R00055,AlCo.2CoCrFeNi,Al:19.2308;Co:23.0769;Cr:19.2308;Fe:19.2308;Ni:19.2308,906.0,1228.6294,244.17068,750.0548,1707.204,322.62939453125,35.610308447157834
R01629,Al0.429 Ca0.286 Li1 Mg1 Si0.143,Al:15.0105;Ca:10.0070;Li:34.9895;Mg:34.9895;Si:5.0035,418.0,696.21375,229.01979,247.33496,1145.0925,278.2137451171875,66.55831222899222
R01349,Hf1 Mo1 Nb1 Ta1 Ti1 W1 Zr1,Hf:14.2857;Mo:14.2857;Nb:14.2857;Ta:14.2857;Ti:14.2857;W:14.2857;Zr:14.2857,1637.0,1814.0277,218.32945,1386.102,2241.9534,177.0277099609375,10.814154548621717
R00312,Al1 Co1 Cr1 Fe1 Mo0.2 Ni1,Al:19.2308;Co:19.2308;Cr:19.2308;Fe:19.2308;Mo:3.8462;Ni:19.2308,2456.0,1765.9797,217.8272,1339.0385,2192.9211,690.020263671875,28.095287608789697
R01547,Co1 Cr1 Fe1 Mn1 Ni1,Co:20.0000;Cr:20.0000;Fe:20.0000;Mn:20.0000;Ni:20.0000,1362.74,947.6051,210.96164,534.12024,1361.09,415.1348974609375,30.463250323681518
